Task Code,Task Description,Status,WBS,Building,Area,Level,Room,Subcontractor,Trade,Responsible Person,Planned Start,Planned Finish,Actual Start,Actual Finish
INT.DH.1050,"IMPACT - CCD 302 - SECAI REVIEW & APPROVE CCD: C&B DOOR SCHEDULE CHANGES AS PER RFI 1209, DRB-007, DRB-008",Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-06-28 07:00,2024-07-22 17:00,2024-05-08 07:00,2024-05-20 17:00
INT.DH.1060,IMPACT - CCD 302 - YATES/C&B PREPARE SUBMITTAL FOR INTERIOR DOOR REDESIGN,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-07-05 07:00,2024-07-16 17:00,2024-05-21 07:00,2024-05-30 17:00
INT.DH.1070,IMPACT - CCD 302 - SECAI/JACOBS REVIEW & APPROVE SUBMITTAL FOR INTERIOR DOOR REDESIGN (DRB-008) - REVISE & RESUBMIT,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,SECAI,,,2024-06-10 07:00,2024-06-28 17:00,2024-05-31 07:00,2024-07-08 17:00
INT.DH.2000,IMPACT - Y_SBMT 524 - PREPARE & SUBMIT AUTO ALUMINUM DOOR SUBMITTAL - CLEAN ROOMS,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-06 17:00,2023-12-01 07:00,2023-12-14 17:00
INT.DH.2010,IMPACT - SECAI REVIEW & APPROVE AUTO ALUMINUM DOOR SUBMITTAL - CLEAN ROOMS - REVISE & RESUBMIT,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-06 17:00,2023-12-15 07:00,2023-12-21 17:00
INT.DH.2020,IMPACT - PREPARE & SUBMIT AUTO ALUMINUM DOOR SUBMITTAL - CLEAN ROOMS - R1,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-06 17:00,2023-12-22 07:00,2024-02-06 17:00
INT.DH.2030,IMPACT - SECAI REVIEW & APPROVE TO AUTO ALUMINUM DOOR SUBMITTAL - CLEAN ROOMS - R1 - REVISE & RESUBMIT,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-06 17:00,2024-02-07 07:00,2024-02-20 17:00
INT.DH.2040,IMPACT - PREPARE & SUBMIT AUTO ALUMINUM DOOR SUBMITTAL - CLEAN ROOMS - R2,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-06 17:00,2024-02-21 07:00,2024-04-08 17:00
INT.DH.2050,IMPACT - SECAI REVIEW & APPROVE TO AUTO ALUMINUM DOOR SUBMITTAL - CLEAN ROOMS - R2 - REVISE & RESUBMIT,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-06 17:00,2024-04-09 07:00,2024-04-18 17:00
INT.DH.2060,IMPACT - PREPARE & SUBMIT AUTO ALUMINUM DOOR SUBMITTAL - CLEAN ROOMS - R3,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-06 17:00,2024-04-19 07:00,2024-05-08 17:00
INT.DH.2070,IMPACT - SECAI REVIEW & APPROVE TO AUTO ALUMINUM DOOR SUBMITTAL - CLEAN ROOMS - R3 - REVISE & RESUBMIT,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-06 17:00,2024-05-08 07:00,2024-05-21 17:00
CN.SWB5.2560,IMPACT - BERG INSTALL STUD FRAMED MEP OPENINGS - NW PENTHOUSE - SOUTH WALL,Complete,CONSTRUCTION,,NORTH WEST PENTHOUSE,EXTERIOR SKIN,,BERG,,,2024-08-23 07:00,2024-08-29 17:00,2024-08-12 07:00,2024-08-16 17:00
CN.SWB5.9150,IMPACT - BERG INSTALL STUD FRAMED MEP OPENINGS - SW PENTHOUSE - NORTH & SOUTH WALLS,Complete,CONSTRUCTION,,SOUTH WEST PENTHOUSE,EXTERIOR SKIN,,BERG,,,2024-07-17 07:00,2024-07-30 17:00,2024-07-02 07:00,2024-07-16 17:00
CN.SWB5.9180,IMPACT - BERG INSTALL STUD FRAMED MEP OPENINGS - NE PENTHOUSE - SOUTH WALL,Complete,CONSTRUCTION,,NORTH EAST PENTHOUSE,EXTERIOR SKIN,,BERG,,,2024-08-09 07:00,2024-08-19 17:00,2024-07-24 07:00,2024-08-02 17:00
CN.SWA5.DS.3020,REMEDY - FRAME & DRYWALL (INT) - SWA5 - GL 6-3 - K LINE - L2,Complete,CONSTRUCTION,,FIZ 2 / SUWS 5  (GL6-1) - GL J - N - DATA CENTER 1,L2 - SubFab Level,DS/AD INTERIORS,SECAI,,,2024-07-17 07:00,2024-08-06 17:00,2024-07-17 07:00,2024-08-07 17:00
INT.DH.1090,PREP & SUBMIT EXTERIOR DOOR AND FRAMES SHOP DRAWINGS (Y_SBMT#686),Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-17 17:00,2023-07-10 07:00,2023-07-25 17:00
INT.DH.1100,SECAI REVIEW EXTERIOR DOOR & FRAMES SHOP DRAWINGS (Y_SBMT#686),Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-17 17:00,2023-07-26 07:00,2023-08-28 17:00
INT.DH.1110,IMPACT - SECAI ISSUE DESIGN REVISION TO YATES - EXTERIOR DOOR & FRAMES,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-13 17:00,2023-08-29 07:00,2023-09-08 17:00
INT.DH.1120,IMPACT - PREP & SUBMIT EXTERIOR DOOR & FRAMES SHOP DRAWINGS - REVISED DESIGN,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-17 17:00,2023-09-11 07:00,2023-10-02 17:00
INT.DH.1130,IMPACT - SECAI REVIEW & APPROVE EXTERIOR DOOR & FRAMES SHOP DRAWINGS - REVISED DESIGN,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-17 17:00,2023-10-03 07:00,2023-10-24 17:00
INT.DH.1140,IMPACT - Y_RFI 1058 - PREP & SUBMIT RFI TO CLARIFY R-VALUE - EXTERIOR DOOR & FRAMES,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-07 17:00,2023-10-25 07:00,2023-11-07 17:00
INT.DH.1150,IMPACT - Y_RFI 1058 - SECAI REVIEW & REPSOND CLARIFYING R-VALUE - EXTERIOR DOOR & FRAMES,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-05-31 17:00,2023-11-08 07:00,2023-11-08 17:00
INT.DH.1160,IMPACT - Y_RFI 1072 - PREP & SUBMIT RFI TO CLARIFY THERMAL RATING - EXTERIOR DOOR & FRAMES,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-07 17:00,2023-11-09 07:00,2023-11-16 17:00
INT.DH.1170,IMPACT - Y_RFI 1072 - SECAI REVIEW & RESPOND CLARIFYING THERMAL RATING - EXTERIOR DOOR & FRAMES,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-17 17:00,2023-11-17 07:00,2023-11-29 17:00
INT.DH.1180,IMPACT - Y_RFI 1072 - YATES REOPENS RFI AFTER CONFERENCE CALL WITH JACOBS - EXTERIOR DOOR & FRAMES,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-05-31 17:00,2023-11-30 07:00,2023-11-30 17:00
INT.DH.1190,IMPACT - Y_RFI 1072 - SECAI/JACOBS/SAMOO/YATES COORDINATE THERMAL RATING REQS - EXTERIOR DOOR & FRAMES,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-25 17:00,2023-12-01 07:00,2024-04-08 17:00
INT.DH.1200,IMPACT - Y_RFI 1072 - SECAI REQUESTS YATES SUBMIT FORMAL SUBMITTAL TO CLOSE RFI - EXTERIOR DOOR & FRAMES,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-05-31 17:00,2024-04-09 07:00,2024-04-09 17:00
INT.DH.1210,IMPACT - Y_SBMT 0600 - PREP & SUBMIT CECO FRAME & MEDALLION DOOR SUBMITTAL - EXTERIOR DOOR & FRAMES,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-07 17:00,2024-04-10 07:00,2024-04-18 17:00
INT.DH.1220,IMPACT - Y_SBMT 0600 - SECAI REVIEW & APPROVE CECO FRAME & MEDALLION DOOR SUBMITTAL - EXTERIOR DOOR & FRAMES,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-17 17:00,2024-04-19 07:00,2024-04-24 17:00
INT.DH.1230,IMPACT - Y_RFI 1072 - SECAI CLOSES RFI AFTER APPROVAL OF Y_SBMT 1072 - EXTERIOR DOOR & FRAMES,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-07 17:00,2024-04-25 07:00,2024-05-01 17:00
INT.DH.1240,IMPACT - Y_RFI 1326 - PREP & SUBMIT RFI TO CLARIFY OVERSIZED FRAME SPEC - EXTERIOR DOOR & FRAMES,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-07 17:00,2024-05-02 07:00,2024-05-07 17:00
INT.DH.1250,IMPACT - Y_RFI 1326 - SECAI REVIEW & PROVIDE CLARIFICATION ON OVERSIZED FRAMES - EXTERIOR DOOR & FRAMES,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-17 17:00,2024-05-08 07:00,2024-05-15 17:00
INT.DH.1290,IMPACT - YATES SUBMIT REQUEST TO SECAI FOR DOOR INSTALLATION PRIORITY LIST - NEEDED TO DEVISE INSTALL SEQUENCE,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,SECAI,,,2024-05-31 07:00,2024-06-17 17:00,2024-04-17 07:00,2024-11-02 17:00
INT.DH.0000,PREP & SUBMIT INTERIOR DOORS & FRAMES PRODUCT DATA (Y_SBMT#681),Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-17 17:00,2023-09-14 07:00,2023-10-04 17:00
INT.DH.0010,SECAI REVIEW & REJECT INTERIOR DOORS & FRAMES PRODUCT DATA (Y_SBMT#681),Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-17 17:00,2023-10-05 07:00,2023-10-25 17:00
INT.DH.0020,IMPACT - PREP & SUBMIT INTERIOR DOORS & FRAMES PRODUCT DATA - R1 (Y_SBMT#681),Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-17 17:00,2023-10-26 07:00,2023-11-27 17:00
INT.DH.0030,IMPACT - SECAI REVIEW & REJECT INTERIOR DOORS & FRAMES PRODUCT DATA - R1 (Y_SBMT#681),Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-17 17:00,2023-11-28 07:00,2023-12-12 17:00
INT.DH.0040,IMPACT - Y_RFI 1008 - PREP & SUBMIT RFI TO RESOLVE FIRE RATING ISSUE WITH OVERSIZED INTERIOR DOORS,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-05-31 17:00,2023-10-26 07:00,2023-10-26 17:00
INT.DH.0050,IMPACT - Y_RFI 1008 - SECAI REVIEW & PROVIDES RESPONSE TO FIRE RATING RFI FOR OVERSIZED INTERIOR DOORS,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-17 17:00,2023-10-27 07:00,2024-01-09 17:00
INT.DH.0060,IMPACT - Y_RFI 1298 - PREP & SUBMIT RFI TO CLARIFY FIRE RATINGS FOR REVISED INTERIOR DOOR OPENINGS,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-17 17:00,2024-04-05 07:00,2024-04-18 17:00
INT.DH.0070,IMPACT - Y_RFI 1298 - SAMOO PROVIDES RESPONSE FOR FIRE RATINGS FOR REVISED INTERIOR DOOR OPENINGS,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-17 17:00,2024-04-19 07:00,2024-04-30 17:00
INT.DH.0080,IMPACT - Y_RFI 1298 - JACOBS REVIEW & RESPONSE FOR FIRE RATINGS FOR REVISED INTERIOR DOOR OPENINGS,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-05-31 07:00,2024-06-07 17:00,2024-05-01 07:00,2024-05-07 17:00
INT.DH.1300,IMPACT - CCD 346 - PREP & SUBMIT CCD - EXTERIOR DOOR FRAME CHANGE TO KEY FRAME & GASKETING FOR OVERSIZED FRAME,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-06-07 07:00,2024-06-13 17:00,2024-05-16 07:00,2024-06-04 17:00
INT.DH.1310,IMPACT - CCD 346 - SECAI REVIEW & REJECT CCD - SEEKING ALTERNATIVE TO MODIFIED STANDARD DOOR FRAMES,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-06-07 07:00,2024-06-24 17:00,2024-06-05 07:00,2024-06-06 17:00
INT.DH.1320,IMPACT - CCD 346 - Y_RFI 1377 - YATES PREP & SUBMIT RFI FOR EXTERIOR DOOR FRAME SPEC CLARIFICATION,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,,,,2024-06-20 07:00,2024-06-25 17:00,2024-06-07 07:00,2024-06-13 17:00
INT.DH.1330,IMPACT - CCD 346 - Y_RFI 1377 - SECAI REVIEW & RESPOND/SIGN RFI FOR EXTERIOR DOOR FRAME SPEC CLARIFICATION,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,SECAI,,,2024-06-28 07:00,2024-07-16 17:00,2024-06-14 07:00,2024-06-27 17:00
INT.DH.2080,IMPACT - CCD 345 - PREP & SUBMIT CCD FOR INTERIOR DOORS (DRB-009 PACKAGE),Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,SECAI,,,2024-07-08 07:00,2024-07-22 17:00,2024-05-02 07:00,2024-06-05 17:00
INT.DH.2090,IMPACT - CCD 367 - PREP & SUBMIT CCD FOR INTERIOR DOORS (DRB-010 PACKAGE),Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,SECAI,,,2024-06-28 07:00,2024-07-16 17:00,2024-05-31 07:00,2024-06-13 17:00
INT.DH.2100,IMPACT - CCD 345 - SECAI REVIEW & APPROVE CCD FOR INTERIOR DOORS (DRB-009 PACKAGE),Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,SECAI,,,2024-07-08 07:00,2024-07-22 17:00,2024-06-06 07:00,2024-06-10 17:00
INT.DH.2140,IMPACT - CCD 367 - SECAI REVIEW & APPROVE CCD FOR INTERIOR DOORS (DRB-010 PACKAGE),Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,,SECAI,,,2024-06-28 07:00,2024-07-16 17:00,2024-06-14 07:00,2024-06-20 17:00
STAIR.1780,INSTALL & INSPECT STAIR/RAMP # 5-C - SUE - 5-B - LEVEL 04 - Pending door sill angle,Complete,CONSTRUCTION,,INTERIOR STAIRS,L4 - SUP Roof - FAB Roof,SUE - SUPPORT EAST,,,,2024-10-17 07:00,2024-10-28 17:00,2024-10-24 07:00,2025-09-25 17:00
CN.SEA5.9850,REMAINING FRAME & DRYWALL - IT/SECURITY 22 - SEA5 FIZ - GL 6-1 - L1(PENDING DRYWALL REMEDY),Complete,CONSTRUCTION,,SUES-5 - 6-1 - FIZ - GL A -E,L1 - Fndn Slab,IT/SECURITY,,,,2024-08-27 07:00,2024-09-04 17:00,2024-08-08 07:00,2024-08-13 17:00
CN.SEA5.10305,REMAINING FRAME & DRYWALL - IT/ SECURITY 1 - GL 3-6 - L1 - K LINE,Complete,CONSTRUCTION,,FIZ 2 / SUWS 5  (GL6-1) - GL J - N - DATA CENTER 1,L1 - Fndn Slab,IT/SECURITY,,,,2024-08-05 07:00,2024-08-12 17:00,2024-08-05 07:00,2024-08-10 17:00
CN.SEA5.10570,IMPACT - DEMO DOOR FRAME & MOBILIZE EQUIPMENT FOR FIREPROOFING - MECHANICAL ROOM - ELEVATOR 22,Complete,CONSTRUCTION,,SUES-5 - 6-1 - FIZ - GL A -E,,ELEVATOR,,,,2024-08-09 07:00,2024-08-15 17:00,2024-08-05 07:00,2024-08-06 17:00
CN.SEA5.10590,IMPACT - REINSTALL TEMP DOOR FRAMES - MECHANICAL ROOM - ELEVATOR 22,Complete,CONSTRUCTION,,SUES-5 - 6-1 - FIZ - GL A -E,,ELEVATOR,,,,2024-08-26 07:00,2024-09-05 17:00,2024-08-12 07:00,2024-08-27 17:00
CN.SEA5.10660,"FINAL TURNOVER - SHAFT, DOOR FRONTS, MECHANICAL ROOM - ELEVATOR 22",Not Started,CONSTRUCTION,,SUES-5 - 6-1 - FIZ - GL A -E,,ELEVATOR,,,,2026-01-26 17:00,2026-01-26 17:00,,
CN.SWB5.10040,SECAI - AWAIT ELEVATOR COMPLETION & TURNOVER FOR HSS DOOR OPENINGS - 8/13,Complete,CONSTRUCTION,,SUWN-5 - 30-33,,ELEVATOR,BAKER,,,2024-11-21 07:00,2025-01-13 17:00,2024-11-21 07:00,2025-07-16 17:00
CN.SWB5.10100,"FINAL TURNOVER - DOOR FRONTS, MECHANICAL ROOM (WITH PERM DOOR) - ELEVATOR 5",Not Started,CONSTRUCTION,,SUWN-5 - 30-33,,ELEVATOR,BAKER,,,2025-11-24 17:00,2025-11-24 17:00,,
CN.SWB5.10120,PREP & INSTALL PERMANENT DOOR & FRAME - MECHANICAL ROOM - FAB110504A - ELEVATOR 5,Active,CONSTRUCTION,,SUWN-5 - 30-33,,ELEVATOR,BAKER,,,2024-09-27 07:00,2024-11-08 17:00,2024-10-01 07:00,
CN.SWB5.10130,"COMPLETE REMAINING FRAMING, DRYWALL, FIRE CAULKING - DOOR FRONTS - ELEVATOR 5 - LVL1 SECAI TOOK OVER",Complete,CONSTRUCTION,,SUWN-5 - 30-33,,ELEVATOR,BAKER,,,2025-09-04 07:00,2025-09-24 17:00,2025-08-26 07:00,2025-09-29 07:00
CN.SWB5.10140,TAPE & FLOAT -SHAFT & DOOR FRONTS - ELEVATOR 5,Not Started,CONSTRUCTION,,SUWN-5 - 30-33,,ELEVATOR,BAKER,,,2025-12-15 07:00,2025-12-19 17:00,,
CN.SEB55330,"FINAL TURNOVER - DOOR FRONTS, MECHANICAL ROOM (WITH PERM DOOR) - ELEVATOR 19",Not Started,CONSTRUCTION,,SUEN-4 - 28-31,,ELEVATOR,BAKER,,,2025-12-10 17:00,2025-12-10 17:00,,
CN.SEB1.10170,"IMPACT - CCD FOR DOOR MODIFICATION - VOC ROOM SUPPORT STEEL, BENT PLATE & DECKING - GL 17-18 - L LINE (DS AREA)",Complete,CONSTRUCTION,,SUWS-1 - 18-15,EXTERIOR SKIN,,PATRIOT,INSULATED METAL PANELS,,2024-09-13 07:00,2024-09-26 17:00,2024-09-03 07:00,2024-10-12 17:00
CN.SWB5.10510,IMPACT - DOOR OPENING FIX FOR SECAI ELEVATOR EQUIPMENT - MECHANICAL ROOM - FAB110504A - ELEVATOR 5,Active,CONSTRUCTION,,SUWN-5 - 30-33,,ELEVATOR,BAKER,,,2024-09-27 07:00,2024-11-08 17:00,2024-10-01 07:00,
INT.DH.2210,IMPACT - SECAI returned the submittal for the doors saying to revise to the new DRB.,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,"Int. Doors Filter 1, 2, 3",DOORS AND HARDWARE,,,2025-01-13 07:00,2025-01-13 17:00,2024-07-08 07:00,2024-07-08 17:00
INT.DH.2220,IMPACT - Meeting: SECAI stated they wanted to have 2 weeks for design develop. & new door schedule would be issued,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,"Int. Doors Filter 1, 2, 3",DOORS AND HARDWARE,,,2025-01-13 07:00,2025-01-14 17:00,2024-07-09 07:00,2024-07-10 17:00
INT.DH.2230,IMPACT - Notice of Delay of Door Procurement was sent to SECAI,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,"Int. Doors Filter 1, 2, 3",DOORS AND HARDWARE,,,2025-01-13 07:00,2025-01-14 17:00,2024-07-11 07:00,2024-07-12 17:00
INT.DH.2240,IMPACT - Yates was provided a Door sch. that we were to complete the submitt. based on and for C&B to review.,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,"Int. Doors Filter 1, 2, 3",DOORS AND HARDWARE,,,2025-01-13 07:00,2025-01-27 17:00,2024-07-15 07:00,2024-07-26 17:00
INT.DH.2250,IMPACT - The review of all doors was completed by both C&B and Jacobs/SAMOO,Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,"Int. Doors Filter 1, 2, 3",DOORS AND HARDWARE,,,2025-01-13 07:00,2025-02-14 17:00,2024-07-29 07:00,2024-08-28 17:00
INT.DH.2260,"IMPACT - Interior Door, Frame and Hardware Product Data - PACKAGE 1 (REV 0) Submitted - FILTER 1",Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,"Int. Doors Filter 1, 2, 3",DOORS AND HARDWARE,,,2025-01-13 07:00,2025-01-14 17:00,2024-08-29 07:00,2024-08-30 17:00
INT.DH.2270,"IMPACT - Int. Door, Frame & Hardware Product Data - Resubm. on meetings with Jacobs/SAMOO PACK 1 (REV 1) - FILTER 1",Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,"Int. Doors Filter 1, 2, 3",DOORS AND HARDWARE,,,2025-01-13 07:00,2025-01-13 17:00,2024-09-02 07:00,2024-09-05 17:00
INT.DH.2280,"IMPACT - Int. Door, Frame & Hardware Product Data - Resubm. Revise  Jacobs Review PACK 1 (REV 1) - FILTER 1",Complete,CONSTRUCTION,,Doors & Hardware - INTERIOR,DOORS & HARDWARE INTERIOR,"Int. Doors Filter 1, 2, 3",DOORS AND HARDWARE,,,2025-01-13 07:00,2025-01-13 17:00,2024-09-09 07:00,2024-09-09 17:00
