Task Code,Task Description,Status,WBS,Building,Area,Level,Room,Phase,Subcontractor,Trade,Responsible Person,Bid Package,Planned Start,Planned Finish,Actual Start,Actual Finish,Early Start,Early Finish,Late Start,Late Finish,Remaining Duration (hrs),Planned Duration (hrs),Physical % Complete
CN.SEA5.1610,DSAD PENETRATION SUPPORT STEEL FRAMING - SEA5 - GL 6-1 - C-E - L2,Complete,CONSTRUCTION,,SUES-5 - 6-1 - FIZ - GL A -E,DS/AD,,CONSTRUCTION,,,,,2024-02-05 07:00,2024-02-09 17:00,2023-12-19 07:00,2023-12-22 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-10-16 07:00,2025-10-16 07:00,0,40,100
CN.SEB5.1520,DSAD PENETRATION SUPPORT STEEL FRAMING - SEB5 - GL 31-33 - C-E - L3,Complete,CONSTRUCTION,,SUEN-5 - 31-33,DS/AD,,CONSTRUCTION,,,,,2024-06-25 07:00,2024-07-02 17:00,2024-04-08 00:00,2024-04-15 00:00,2025-11-20 17:00,2025-11-20 17:00,2025-10-16 07:00,2025-10-16 07:00,0,50,100
CN.SEB5.1530,DSAD PENETRATION SUPPORT STEEL FRAMING - SEB5 - GL 31-33 - C-E - L2,Complete,CONSTRUCTION,,SUEN-5 - 31-33,DS/AD,,CONSTRUCTION,,,,,2024-03-09 11:00,2024-03-17 11:00,2024-03-09 11:00,2024-03-15 14:00,2025-11-20 17:00,2025-11-20 17:00,2025-10-16 07:00,2025-10-16 07:00,0,40,100
CN.SEB5.1540,DSAD PENETRATION SUPPORT STEEL FRAMING - SEB5 - GL 31-33 - C-E - L4,Complete,CONSTRUCTION,,SUEN-5 - 31-33,DS/AD,,CONSTRUCTION,PERRY & PERRY,Steel Erection,,,2024-07-29 07:00,2024-08-06 17:00,2024-07-27 07:00,2024-08-03 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-10-16 07:00,2025-10-16 07:00,0,70,100
CN.SEB4.1550,DSAD PENETRATION SUPPORT STEEL FRAMING - SEB4 - GL 28-31 - C-E - L3,Complete,CONSTRUCTION,,SUEN-4 - 28-31,DS/AD,,CONSTRUCTION,,Steel Erection,,,2024-07-02 07:00,2024-07-11 17:00,2024-04-08 07:00,2024-04-15 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-10-16 07:00,2025-10-16 07:00,0,50,100
CN.SEB4.1560,DSAD PENETRATION SUPPORT STEEL FRAMING - SEB4 - GL 28-31 - C-E - L2,Complete,CONSTRUCTION,,SUEN-4 - 28-31,DS/AD,,CONSTRUCTION,PERRY & PERRY,,,,2024-07-29 07:00,2024-08-06 17:00,2024-07-27 07:00,2024-08-03 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-10-16 07:00,2025-10-16 07:00,0,70,100
CN.SEB4.1570,DSAD PENETRATION SUPPORT STEEL FRAMING - SEB4 - GL 28-31 - C-E - L4 - TURNED OVER TO SECAI,Complete,CONSTRUCTION,,SUEN-4 - 28-31,DS/AD,,CONSTRUCTION,PERRY & PERRY,Steel Erection,,,2024-11-12 07:00,2024-11-19 17:00,2024-07-29 07:00,2024-08-09 10:00,2025-11-20 17:00,2025-11-20 17:00,2025-10-16 07:00,2025-10-16 07:00,0,50,100
CN.SEB3.1580,DSAD PENETRATION SUPPORT STEEL FRAMING - SEB3 - GL 25-28 - C-E - L3,Complete,CONSTRUCTION,,SUEN-3 - 25-28,DS/AD,,CONSTRUCTION,,TOPPING,,,2024-06-25 07:00,2024-07-02 17:00,2024-04-08 07:00,2024-04-15 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-10-16 07:00,2025-10-16 07:00,0,50,100
CN.SEB3.1590,DSAD PENETRATION SUPPORT STEEL FRAMING - SEB3 - GL 25-28 - C-E - L2,Complete,CONSTRUCTION,,SUEN-3 - 25-28,DS/AD,,CONSTRUCTION,,,,,2024-03-09 08:00,2024-03-17 08:00,2024-02-20 08:00,2024-02-29 11:00,2025-11-20 17:00,2025-11-20 17:00,2025-10-16 07:00,2025-10-16 07:00,0,40,100
CN.SEB3.1600,DSAD & PENETRATION SUPPORT STEEL FRAMING - SEB3 - GL 25-28 - C-E - L4,Complete,CONSTRUCTION,,SUEN-3 - 25-28,DS/AD,,CONSTRUCTION,PERRY & PERRY,Steel Fabricator - W&W,,,2024-07-29 07:00,2024-08-06 17:00,2024-07-27 07:00,2024-08-03 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-10-16 07:00,2025-10-16 07:00,0,70,100
CN.SEB2.1470,DSAD PENETRATION SUPPORT STEEL FRAMING - SEB2 - GL 22-25 - C-E - L3,Complete,CONSTRUCTION,,SUEN-2 - 22-25,DS/AD,,CONSTRUCTION,PERRY & PERRY,,,,2024-07-29 07:00,2024-08-06 17:00,2024-07-27 07:00,2024-08-03 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-10-16 07:00,2025-10-16 07:00,0,70,100
CN.SEB2.1480,DSAD PENETRATION SUPPORT STEEL FRAMING - SEB2 - GL 22-25 - C-E - L2,Complete,CONSTRUCTION,,SUEN-2 - 22-25,DS/AD,,CONSTRUCTION,PERRY & PERRY,,,,2024-05-31 07:00,2024-06-07 17:00,2024-05-06 07:00,2024-06-03 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-10-16 07:00,2025-10-16 07:00,0,50,100
CN.SEB2.1490,DSAD & PENETRATION SUPPORT STEEL FRAMING - SEB2 - GL 22-25 - C-E - L4,Complete,CONSTRUCTION,,SUEN-2 - 22-25,DS/AD,,CONSTRUCTION,,,,,2024-01-22 07:00,2024-01-26 15:00,2024-01-12 10:00,2024-01-14 16:00,2025-11-20 17:00,2025-11-20 17:00,2025-06-13 08:00,2025-06-13 08:00,0,48,100
CN.SEB1.1490,DSAD PENETRATION SUPPORT STEEL FRAMING - SEB1 - GL 19-22 - C-E - L3,Complete,CONSTRUCTION,,SUEN-1 - 19-22,DS/AD,,CONSTRUCTION,PERRY & PERRY,Steel Erector - W&W,,,2024-07-29 07:00,2024-08-06 17:00,2024-07-27 07:00,2024-08-03 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-10-16 07:00,2025-10-16 07:00,0,70,100
CN.SEB1.5020,DSAD PENETRATION SUPPORT STEEL FRAMING - SEB1 - GL 19-22 - C-E - L2,Complete,CONSTRUCTION,,SUEN-1 - 19-22,DS/AD,,CONSTRUCTION,PERRY & PERRY,Steel Erector - W&W,,,2024-06-06 07:00,2024-06-13 17:00,2024-05-06 07:00,2024-06-03 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-10-16 07:00,2025-10-16 07:00,0,50,100
CN.SEB1.5040,DSAD PENETRATION SUPPORT STEEL FRAMING - SEB1 - GL 20- 22 - C-E - L4,Complete,CONSTRUCTION,,SUEN-1 - 19-22,DS/AD,,CONSTRUCTION,PERRY & PERRY,Steel Erector - W&W,,,2024-07-29 07:00,2024-08-06 17:00,2024-07-27 07:00,2024-08-03 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-10-16 07:00,2025-10-16 07:00,0,70,100
CN.SWB1.4750,DSAD PENETRATION SUPPORT STEEL FRAMING - SWB-1- GL 17-21 L2,Complete,CONSTRUCTION,,SUWN-1 - 18-21,DS/AD,,CONSTRUCTION,,Steel Erector - W&W,,,2024-02-29 07:00,2024-03-03 17:00,2024-02-29 07:00,2024-03-01 11:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,40,100
CN.SWA1.1750,DSAD PENETRATION SUPPORT STEEL FRAMING - SWB-1- GL 18-15 L3,Complete,CONSTRUCTION,,SUWS-1 - 18-15,DS/AD,,CONSTRUCTION,PERRY & PERRY,Steel Erector - W&W,,,2024-05-21 07:00,2024-05-30 17:00,2024-04-29 07:00,2024-06-20 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,50,100
CN.SWA1.1760,DSAD PENETRATION SUPPORT STEEL FRAMING - SWB-1- GL 18-15 L2,Complete,CONSTRUCTION,,SUWS-1 - 18-15,DS/AD,,CONSTRUCTION,,Steel Erector - W&W,,,2024-02-24 15:00,2024-02-29 15:00,2024-02-24 15:00,2024-02-27 08:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,40,100
CN.SWA1.1770,DSAD PENETRATION SUPPORT STEEL FRAMING - SWB-1- GL 18-15 L4,Complete,CONSTRUCTION,,SUWS-1 - 18-15,DS/AD,,CONSTRUCTION,PERRY & PERRY,Decking & Detail,,,2024-06-07 07:00,2024-06-14 17:00,2024-05-30 07:00,2024-06-04 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,50,100
CN.SWA2.1560,DSAD PENETRATION SUPPORT STEEL FRAMING - SWA-2- GL 15-12 L3,Complete,CONSTRUCTION,,SUWS-2 - 15-12,DS/AD,,CONSTRUCTION,PERRY & PERRY,Steel Erector - W&W,,,2024-05-17 07:00,2024-05-24 17:00,2024-04-27 07:00,2024-06-20 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,50,100
CN.SWA2.1570,DSAD PENETRATION SUPPORT STEEL FRAMING - SWA-2- GL 15-12 L2,Complete,CONSTRUCTION,,SUWS-2 - 15-12,DS/AD,,CONSTRUCTION,,Steel Erector - W&W,,,2024-02-19 15:00,2024-02-24 15:00,2024-02-19 15:00,2024-02-24 16:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,40,100
CN.SWA2.1580,DSAD PENETRATION SUPPORT STEEL FRAMING - SWA-2- GL 15-12 L4,Complete,CONSTRUCTION,,SUWS-2 - 15-12,DS/AD,,CONSTRUCTION,PERRY & PERRY,Steel Erector - W&W,,,2024-06-21 07:00,2024-06-28 17:00,2024-05-30 07:00,2024-06-04 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,50,100
CN.SWA3.1350,DSAD PENETRATION SUPPORT STEEL FRAMING - SWA-3- GL 12-9 L2,Complete,CONSTRUCTION,,SUWS-3 - 12-9,DS/AD,,CONSTRUCTION,,Steel Erector - W&W,,,2024-02-15 08:00,2024-02-19 08:00,2024-02-15 08:00,2024-02-19 12:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,40,100
CN.SWA3.1360,DSAD PENETRATION SUPPORT STEEL FRAMING - SWA3 - GL 12-9 - L4,Complete,CONSTRUCTION,,SUWS-3 - 12-9,DS/AD,,CONSTRUCTION,PERRY & PERRY,Steel Erection,,,2024-06-14 07:00,2024-06-21 17:00,2024-05-24 07:00,2024-05-30 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,50,100
CN.SWA4.1600,DSAD PENETRATION SUPPORT STEEL FRAMING - SWA-4- GL 9-6 L3,Complete,CONSTRUCTION,,SUWS-4 - 9-6,DS/AD,,CONSTRUCTION,PERRY & PERRY,Steel Erector - W&W,,,2024-05-16 07:00,2024-05-21 17:00,2024-04-16 07:00,2024-04-20 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,40,100
CN.SWA4.1610,DSAD PENETRATION SUPPORT STEEL FRAMING - SWA-4- GL 9-6 L2,Complete,CONSTRUCTION,,SUWS-4 - 9-6,DS/AD,,CONSTRUCTION,,Steel Erector - W&W,,,2024-02-11 08:00,2024-02-15 08:00,2024-02-11 08:00,2024-02-15 09:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,40,100
CN.SWA4.1620,DSAD PENETRATION SUPPORT STEEL FRAMING - SWA4 - GL 9-6 - L4,Complete,CONSTRUCTION,,SUWS-4 - 9-6,DS/AD,,CONSTRUCTION,PERRY & PERRY,Steel Erector - W&W,,,2024-06-14 07:00,2024-06-20 09:00,2024-05-24 07:00,2024-05-30 09:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,32,100
CN.SWA5.1580,DSAD PENETRATION SUPPORT STEEL FRAMING - SWA-5- GL 6-3 L2,Complete,CONSTRUCTION,,FIZ 2 / SUWS 5  (GL6-1) - GL J - N - DATA CENTER 1,DS/AD,,CONSTRUCTION,,Steel Erector - W&W,,,2024-02-06 08:00,2024-02-11 08:00,2024-02-06 08:00,2024-02-11 11:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,40,100
CN.SWA5.1590,DSAD PENETRATION SUPPORT STEEL FRAMING - SWA5 - GL 6-3 - L4,Complete,CONSTRUCTION,,FIZ 2 / SUWS 5  (GL6-1) - GL J - N - DATA CENTER 1,DS/AD,,CONSTRUCTION,PERRY & PERRY,Steel Erector - W&W,,,2024-07-29 07:00,2024-08-02 17:00,2024-07-29 07:00,2024-08-02 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,50,100
CN.SWB2.6470,DSAD PENETRATION SUPPORT STEEL FRAMING - SWB-2 - GL 21-24 J-K - L2,Complete,CONSTRUCTION,,SUWN-2 - 21-24,DS/AD,,CONSTRUCTION,,Steel Erector - W&W,,,2024-03-04 09:00,2024-03-08 09:00,2024-03-04 09:00,2024-03-08 10:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,40,100
CN.SWB2.6480,DSAD PENETRATION SUPPORT STEEL FRAMING - SWB-3- GL 24-27 J-K L2,Complete,CONSTRUCTION,,SUWN-3 - 24-27,DS/AD,,CONSTRUCTION,,Steel Erector - W&W,,,2024-03-04 13:00,2024-03-08 13:00,2024-03-04 13:00,2024-03-08 14:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,40,100
CN.SWB4.6360,DSAD PENETRATION SUPPORT STEEL FRAMING - SWB-4 GL 27-30 K-L L2,Complete,CONSTRUCTION,,SUWN-4 - 27-30,DS/AD,,CONSTRUCTION,,Steel Erector - W&W,,,2024-03-09 08:00,2024-03-11 12:00,2024-03-09 08:00,2024-03-12 15:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,24,100
CN.SWB5.6430,DSAD PENETRATION SUPPORT STEEL FRAMING - SWB5 -GL 30-33 L2,Complete,CONSTRUCTION,,SUWN-5 - 30-33,DS/AD,,CONSTRUCTION,,Steel Erector - W&W,,,2024-03-09 08:00,2024-03-11 12:00,2024-03-09 08:00,2024-03-12 15:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,24,100
CN.SEB2.2341,DETAILING AND INSPECTION CLADDING STEEL GL 22-25 - C LINE (DS AREA),Complete,CONSTRUCTION,,SUEN-2 - 22-25,EXTERIOR SKIN,,CONSTRUCTION,,INSULATED METAL PANELS,,,2024-02-26 07:00,2024-03-06 15:00,2024-02-26 07:00,2024-03-05 13:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-17 07:00,2025-11-17 07:00,0,88,100
CN.SWA1.1780,DETAILING AND INSPECTION EXTERIOR - GL 18-15 SWA-1 L LINE (DS AREA),Complete,CONSTRUCTION,,SUWS-1 - 18-15,EXTERIOR SKIN,,CONSTRUCTION,,INSULATED METAL PANELS,,,2024-01-02 09:00,2024-01-07 08:00,2024-01-02 08:00,2024-01-12 16:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-25 07:00,2025-11-25 07:00,0,40,100
CN.SWA2.1590,DETAILING AND INSPECTION EXTERIOR - GL 15-12 SWA-1 L LINE (DS AREA),Complete,CONSTRUCTION,,SUWS-2 - 15-12,EXTERIOR SKIN,,CONSTRUCTION,,INSULATED METAL PANELS,,,2024-01-29 15:00,2024-02-14 09:00,2023-12-01 15:00,2023-12-18 15:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-25 07:00,2025-11-25 07:00,0,144,100
CN.SEA2.1570,ADD FLANGE EXTENSION / CUT GRATING - D LINE GL 16-13,Complete,CONSTRUCTION,,SUES-2 - 16-13,L3 / Waffle Slab Level,DS/AD INTERIORS,CONSTRUCTION,,TBD Architectural Finishes,,,2024-02-06 08:00,2024-02-09 12:00,2024-02-06 08:00,2024-02-09 12:00,2025-11-20 17:00,2025-11-20 17:00,2025-06-13 08:00,2025-06-13 08:00,0,24,100
CN.SEA1.DS.1480,ADD FLANGE EXTENSION / CUT GRATING - D LINE GL 16-19 - L3,Complete,CONSTRUCTION,,SUES-1 - 19-16,L3 / Waffle Slab Level,DS/AD INTERIORS,CONSTRUCTION,,TBD Architectural Finishes,,,2024-03-18 07:00,2024-03-20 11:00,2024-03-18 07:00,2024-03-21 11:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-10 07:00,2025-11-10 07:00,0,24,100
CN.SEB1.1171,ADD FLANGE EXTENSION / CUT GRATING - GL 19-22,Complete,CONSTRUCTION,,SUEN-1 - 19-22,L4 - SUP Roof - FAB Roof,DS/AD INTERIORS,CONSTRUCTION,,,,,2024-03-09 08:00,2024-03-11 12:00,2024-02-01 00:00,2024-02-06 00:00,2025-11-20 17:00,2025-11-20 17:00,2025-06-13 08:00,2025-06-13 08:00,0,24,100
CN.SEB21201,ADD FLANGE EXTENSION / CUT GRATING - D LINE - GL 22-25 - L3,Complete,CONSTRUCTION,,SUEN-2 - 22-25,L3 / Waffle Slab Level,DS/AD INTERIORS,CONSTRUCTION,,,,,2024-03-09 08:00,2024-03-11 12:00,2024-02-07 00:00,2024-02-09 00:00,2025-11-20 17:00,2025-11-20 17:00,2025-06-13 08:00,2025-06-13 08:00,0,24,100
CN.SEB31131,ADD FLANGE EXTENSION / CUT GRATING - GL 25-28 - L3,Complete,CONSTRUCTION,,SUEN-3 - 25-28,L3 / Waffle Slab Level,DS/AD INTERIORS,CONSTRUCTION,,TBD Architectural Finishes,,,2024-03-17 07:00,2024-03-19 11:00,2024-03-15 07:00,2024-03-17 14:00,2025-11-20 17:00,2025-11-20 17:00,2025-06-13 08:00,2025-06-13 08:00,0,24,100
CN.SEB4.1161,ADD FLANGE EXTENSION / CUT GRATING - GL 28-31 - L3 - D LINE,Complete,CONSTRUCTION,,SUEN-4 - 28-31,L3 / Waffle Slab Level,DS/AD INTERIORS,CONSTRUCTION,,TBD Architectural Finishes,,,2024-03-18 09:00,2024-03-20 13:00,2024-03-18 09:00,2024-03-20 13:00,2025-11-20 17:00,2025-11-20 17:00,2025-06-13 08:00,2025-06-13 08:00,0,24,100
CN.SWB1.1330,INSTALL PRIMER SWB-1 ROOF GL 18-21,Complete,CONSTRUCTION,,SUWN-1 - 18-21,L4 - SUP Roof - FAB Roof,,CONSTRUCTION,,TOPPING,,,2024-03-04 15:00,2024-03-05 13:00,2024-03-04 15:00,2024-03-05 13:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-21 07:00,2025-11-21 07:00,0,8,100
CN.SWB1.1340,BASE COAT SWB-1 ROOF GL 18-21,Complete,CONSTRUCTION,,SUWN-1 - 18-21,L4 - SUP Roof - FAB Roof,,CONSTRUCTION,,TOPPING,,,2024-03-17 07:00,2024-03-18 13:00,2024-03-15 08:00,2024-03-16 15:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-21 07:00,2025-11-21 07:00,0,16,100
CN.SWB1.1350,APPLY TOP COAT SWB-1 ROOF GL 18-21,Complete,CONSTRUCTION,,SUWN-1 - 18-21,L4 - SUP Roof - FAB Roof,,CONSTRUCTION,,TOPPING,,,2024-03-19 15:00,2024-03-23 11:00,2024-03-19 15:00,2024-03-21 11:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-21 07:00,2025-11-21 07:00,0,16,100
CN.SWB1.1600,INSTALL CRICKET - SWB-1 ROOF GL 18-21,Complete,CONSTRUCTION,,SUWN-1 - 18-21,L4 - SUP Roof - FAB Roof,,CONSTRUCTION,,TOPPING,,,2024-03-22 15:00,2024-03-28 15:00,2024-03-22 15:00,2024-03-27 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-21 07:00,2025-11-21 07:00,0,40,100
CN.SWB1.1610,INSTALL BASE COAT CRICKET - SWB-1 ROOF GL 18-21,Complete,CONSTRUCTION,,SUWN-1 - 18-21,L4 - SUP Roof - FAB Roof,,CONSTRUCTION,,TOPPING,,,2024-04-01 07:00,2024-04-02 13:00,2024-04-01 12:00,2024-04-02 12:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-21 07:00,2025-11-21 07:00,0,16,100
CN.SWB1.1620,INSTALL PRIMER CRICKET - SWB-1 ROOF GL 18-21,Complete,CONSTRUCTION,,SUWN-1 - 18-21,L4 - SUP Roof - FAB Roof,,CONSTRUCTION,,TOPPING,,,2024-03-29 07:00,2024-03-29 15:00,2024-03-29 07:00,2024-03-29 15:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-21 07:00,2025-11-21 07:00,0,8,100
CN.SWB1.1630,INSTALL TOP COAT CRICKET - SWB-1 ROOF GL 18-21,Complete,CONSTRUCTION,,SUWN-1 - 18-21,L4 - SUP Roof - FAB Roof,,CONSTRUCTION,,TOPPING,,,2024-04-05 08:00,2024-04-08 14:00,2024-04-05 08:00,2024-04-05 16:00,2025-11-20 17:00,2025-11-20 17:00,2025-11-21 07:00,2025-11-21 07:00,0,16,100
CN.SWB3.4730,INSTALL BASE COAT - GL 24-26 - L4 - L-N - ROOF,Complete,CONSTRUCTION,,SUWN-3 - 24-27,L4 - SUP Roof - FAB Roof,,CONSTRUCTION,BRAZOS,TOPPING,,,2024-06-10 07:00,2024-06-11 17:00,2024-05-28 07:00,2024-05-29 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,20,100
CN.SWB3.4740,INSTALL TOP COAT - GL 24-26 - L4 - L-N - ROOF,Complete,CONSTRUCTION,,SUWN-3 - 24-27,L4 - SUP Roof - FAB Roof,,CONSTRUCTION,BRAZOS,TOPPING,,,2024-06-07 07:00,2024-06-10 17:00,2024-05-31 07:00,2024-05-31 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,20,100
CN.SWB3.4750,INSTALL BASE COAT CRICKET - GL 24-26 - L4 - L-N - ROOF,Complete,CONSTRUCTION,,SUWN-3 - 24-27,L4 - SUP Roof - FAB Roof,,CONSTRUCTION,BRAZOS,TOPPING,,,2024-06-20 07:00,2024-06-20 17:00,2024-06-03 07:00,2024-06-03 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,10,100
CN.SWB3.4760,INSTALL TOP COAT CRICKET - GL 24-26 - L4 - L-N - ROOF,Complete,CONSTRUCTION,,SUWN-3 - 24-27,L4 - SUP Roof - FAB Roof,,CONSTRUCTION,BRAZOS,TOPPING,,,2024-06-21 07:00,2024-06-21 17:00,2024-06-04 07:00,2024-06-04 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,10,100
CN.SWB3.4790,INSTALL PRIMER - GL 24-26 - L4 - L-N - ROOF,Complete,CONSTRUCTION,,SUWN-3 - 24-27,L4 - SUP Roof - FAB Roof,,CONSTRUCTION,BRAZOS,TOPPING,,,2024-06-07 07:00,2024-06-07 17:00,2024-05-25 07:00,2024-05-25 17:00,2025-11-20 17:00,2025-11-20 17:00,2025-12-05 17:00,2025-12-05 17:00,0,10,100
