Task Code,Task Description,Status,Planned Start,Planned Finish,Actual Start,Actual Finish
FIZ.WEST.2521,IMPACT [S12] - DEMO DRYWALL & FIREPROOFING FOR STRUCTURAL STEEL - GL 1-3 - C-E - L2-L4,Complete,2024-05-31 07:00,2024-06-07 17:00,2024-05-16 07:00,2024-06-20 17:00
FIZ.WEST.2531,IMPACT [S12] - REINSTALL DRYWALL & FIREPROOFING - GL 1-3 - C-E - L2-L4,Complete,2024-07-01 07:00,2024-07-09 17:00,2024-06-24 07:00,2024-07-07 17:00
CN.SEA2.1181,IMPACT - DRYWALL DEMO PER SECAI DIRECTION SEA2 GL 16-13 - L3 - D LINE,Complete,2024-04-22 07:00,2024-04-25 17:00,2024-04-22 07:00,2024-05-01 17:00
CN.SWB5.2400,CCD 248 - ISSUE & APPROVAL OF CCD FOR TEMP DRYWALL ENCLOSURE - SE PENTHOUSE,Complete,2024-05-17 07:00,2024-05-23 17:00,2024-05-08 07:00,2024-05-17 17:00
CN.SWB5.2410,CCD 248 - FRAME & HANG TEMP DRYWALL ENCLOSURE - GL5 & A-LINE - SE PENTHOUSE,Complete,2024-05-24 07:00,2024-06-10 17:00,2024-05-22 07:00,2024-05-30 17:00
CN.SWA5.DS.3020,REMEDY - FRAME & DRYWALL (INT) - SWA5 - GL 6-3 - K LINE - L2,Complete,2024-07-17 07:00,2024-08-06 17:00,2024-07-17 07:00,2024-08-07 17:00
CN.SEB1.7550,HANG DRYWALL (1 SIDE) - BATHROOM - GL 19-22 - C-A - L1,Complete,2025-06-10 07:00,2025-06-10 17:00,2025-06-10 07:00,2025-08-25 17:00
CN.SEB1.7570,HANG DRYWALL (2ND SIDE) - BATHROOM - GL 19-22 - C-A - L1,Complete,2025-08-25 07:00,2025-08-28 17:00,2025-08-25 07:00,2025-09-04 17:00
CN.SWA5.1990,REMAINING HANG DRYWALL (1 SIDE) - BATHROOM - GL 3 - M-N - L1,Complete,2025-08-14 07:00,2025-08-19 17:00,2025-05-29 07:00,2025-06-06 17:00
CN.SWA5.9320,HANG DRYWALL (2ND SIDE) - BATHROOM - GL 3 - M-N - L1,Complete,2025-05-07 07:00,2025-05-12 17:00,2025-05-07 07:00,2025-07-18 17:00
CN.SWA5.9330,TAPE & FINISH DRYWALL - BATHROOM - GL 3 - M-N - L1,Complete,2025-07-21 07:00,2025-07-23 17:00,2025-07-21 07:00,2025-07-23 17:00
CN.SEB1.9420,TAPE & FINISH DRYWALL - BATHROOM - GL 19-22 - C-A - L1,Complete,2025-09-04 07:00,2025-09-08 17:00,2025-09-04 07:00,2025-09-08 17:00
CN.SWA3.9270,HANG DRYWALL (1 SIDE) - BATHROOM - GL 11-12 - L-N - L1,Complete,2024-11-11 07:00,2024-11-15 17:00,2024-08-01 07:00,2024-08-09 07:00
CN.SWA3.9290,HANG DRYWALL (2ND SIDE) - BATHROOM - GL 11-12 - L-N - L1,Complete,2024-11-15 07:00,2024-11-21 17:00,2024-08-12 07:00,2024-08-15 07:00
CN.SWA3.9300,"REMAINING DRYWALL , TAPE & FINISH DRYWALL - BATHROOM - GL 11-12 - L-N - L1",Complete,2025-07-21 07:00,2025-07-22 17:00,2025-07-21 07:00,2025-08-05 17:00
CN.SWA1.1492,HANG DRYWALL (1 SIDE) - BATHROOM - GL 15-18 - K-N - L3,Complete,2025-05-05 07:00,2025-05-16 17:00,2025-05-05 07:00,2025-05-16 17:00
CN.SWA1.1512,HANG DRYWALL (2ND SIDE) - BATHROOM - GL 15-18 - K-N - L3,Complete,2025-07-23 07:00,2025-07-28 17:00,2025-05-05 07:00,2025-06-07 17:00
CN.SWA1.9450,TAPE & FINISH DRYWALL - BATHROOM - GL 15-18 - K-N - L3,Complete,2025-06-13 07:00,2025-06-13 17:00,2025-06-13 07:00,2025-06-13 17:00
CN.SWB5.6980,IMPACT - REPAIR CONCRETE CURB TO FINISH DRYWALL - GL 33 - L1 - A-C,Complete,2024-09-20 07:00,2024-09-26 17:00,2024-08-12 07:00,2024-08-14 17:00
CN.SWB5.6340,IMPACT - REPAIR CONCRETE CURB TO FINISH DRYWALL - GL 33 - L1 - G-K,Complete,2024-11-15 07:00,2024-11-21 17:00,2024-08-28 07:00,2024-08-29 17:00
CN.SWB34600,IMPACT - TARPS BLOCKING THE DRYWALL INSTALL - SWB-3- ELECTRICAL ROOM - GL 29-30 L,Complete,2024-07-11 07:00,2024-07-16 17:00,2024-07-11 07:00,2024-08-01 17:00
CN.SWB5.9520,IMPACT -TEMP DUCT IN THE WAY IN THE ROOM TO FINISH DRYWALL - SWB-5 - L2 - FIRE ALARM 22 GL 5-6 A-B,Complete,2024-07-18 07:00,2024-07-23 17:00,2024-07-18 07:00,2025-10-03 17:00
CN.SWB5.9560,IMPACT - EAST WALL REDESIGN TO SHAFT WALL / PROVIDE SCAFFOLDING - DRYWALL - SWB-5 - L2 - FIRE ALARM 20 GL 5-6 A-B,Complete,2024-08-01 07:00,2024-08-06 17:00,2024-08-01 07:00,2024-08-10 17:00
CN.AB.AR.7110,FRAMING & DRYWALL - CV ROOM EXIT PASS WAY 20 - SEA1 - GL 18-19 - C-A - L1 - SECAI TOOK OVER FOR ACCELERATION,Complete,2025-10-13 07:00,2025-10-22 17:00,2025-06-27 07:00,2025-06-27 17:00
CN.AB.AR.7120,REMAINING FRAMING & DRYWALL - IT/SECURITY 20 - SEA1 - GL 18-19 - C-A - L1,Complete,2024-07-26 07:00,2024-08-01 17:00,2024-07-24 07:00,2024-08-01 17:00
CN.AB.AR.7130,FRAMING & DRYWALL - SWB-1- MCC RM - GL 18-21 K-N,Complete,2024-08-12 07:00,2024-08-16 17:00,2024-08-10 07:00,2024-10-11 10:00
CN.AB.AR.7150,REMAINING DRYWALL & FINISHES - SWB-1- FIRE ALARM 3 - GL 19-20 K-N - L1,Complete,2024-08-09 07:00,2024-08-22 17:00,2024-07-24 07:00,2024-08-02 17:00
CN.AB.AR.4930,REMAINING DRYWALL & FINISHES  - FIRE ALARM 20  - SEA1 - GL 19-16 - C-A - L3,Complete,2024-07-25 07:00,2024-07-30 17:00,2024-07-25 07:00,2024-08-01 17:00
CN.AB.AR.7160,REMAINING DRYWALL & FINISHES  - IT/SECURITY  20  - SEA1 - GL 19-16 - C-A - L3,Complete,2024-08-09 07:00,2024-08-15 17:00,2024-07-25 07:00,2024-08-05 17:00
CN.SEA5.9850,REMAINING FRAME & DRYWALL - IT/SECURITY 22 - SEA5 FIZ - GL 6-1 - L1(PENDING DRYWALL REMEDY),Complete,2024-08-27 07:00,2024-09-04 17:00,2024-08-08 07:00,2024-08-13 17:00
CN.SEA5.10305,REMAINING FRAME & DRYWALL - IT/ SECURITY 1 - GL 3-6 - L1 - K LINE,Complete,2024-08-05 07:00,2024-08-12 17:00,2024-08-05 07:00,2024-08-10 17:00
CN.SEA5.1352,REMAINING DRYWALL & FINISHES - IT/SECURITY 22 -SEA5 FIZ - GL 4-5 - L2,Complete,2024-07-29 07:00,2024-08-02 17:00,2024-07-25 07:00,2024-08-05 17:00
CN.SWA5.L3.220,REMAINING DRYWALL & FINISHES - IT/SECURITY 1 -SWA5 - GL 3-4 - L3,Complete,2025-04-14 07:00,2025-04-17 17:00,2025-04-14 07:00,2025-04-17 17:00
CN.SWB5.9700,FINISH DRYWALL - GL 33 - L1-L3 - A-B- (PLATFORM AREA),Complete,2025-01-06 07:00,2025-02-07 17:00,2025-01-04 07:00,2025-01-20 17:00
CN.SWB5.9730,BERG - FINISH DRYWALL & WATERPROOFING- LEAVEOUT FOR HOIST - GL 33 - L1-L3 - L-M LINE,Complete,2025-01-13 07:00,2025-02-14 17:00,2025-01-13 07:00,2025-07-22 12:00
CN.SWB5.9750,BERG - FINISH DRYWALL & WATERPROOFING - LEAVEOUT FOR SUPER DECK - GL 33 - L1-L3 - L-M LINE,Complete,2025-01-06 07:00,2025-01-30 17:00,2025-01-13 07:00,2025-07-23 12:00
CN.SWB5.8940,REMAINING DRYWALL & FINISHES - FIREALARM 22 - SE PENTHOUSE - GL 3-5 C-D,Complete,2024-07-24 07:00,2024-07-29 17:00,2024-07-24 07:00,2024-08-02 17:00
CN.SWB5.2650,REMAINING DRYWALL & FINISHES - FIREALARM 1-SW PENTHOUSE,Complete,2024-09-06 07:00,2024-09-12 17:00,2024-08-05 07:00,2024-08-12 17:00
CN.SWA5..2820,REMAINING FRAMING AND 1ST LAYER DRYWALL EXTERIOR - STAIR #20 - 19/D - ALL LEVELS,Complete,2024-11-05 07:00,2024-11-08 17:00,2024-11-05 07:00,2025-10-09 17:00
CN.SEB3R.3900,REMAINING DRYWALL & FINISHES  - WAFER I/O - SEB3 - GL 25-28 - C-A - L1,Complete,2024-10-25 07:00,2024-10-29 17:00,2024-08-24 07:00,2024-08-30 17:00
CN.SEB4.3900,"REMAINING FRAMING & DRYWALL, TAPE & FINISH - SEB4 - GL 28-31 - L1 C-A PR RM(PATCH UPTO 12' REQ BY SECAI )",Complete,2024-11-01 07:00,2024-11-07 17:00,2024-11-01 07:00,2025-10-03 17:00
CN.AB.AR.3230,"REMAINING FRAMNING, DRYWALL & FINISHES - H2 PURIFER ROOM GL 18-21 K-N",Complete,2024-11-07 07:00,2024-11-12 17:00,2024-11-07 07:00,2024-11-11 17:00
CN.SWA5..3180,REMAINING EXTERIOR FRAMING AND 1ST LAYER DRYWALL - STAIR #21 - 13/D - ALL LEVELS(2 SHIFTS /DAY),Complete,2024-11-16 07:00,2024-11-19 17:00,2024-11-13 07:00,2025-03-03 17:00
CN.SWA5..3280,SECAI - INSTALL INTERIOR DRYWALL - STAIR #22 - 6/D - ALL LEVELS[/DAY],Complete,2025-08-16 07:00,2025-08-16 17:00,2025-08-16 07:00,2025-08-16 17:00
CN.SWA5..3350,FRAMING AND 1ST LAYER EXTERIOR DRYWALL & inspect - STAIR #2 - 11/L - ALL LEVELS,Complete,2024-11-02 07:00,2024-11-07 17:00,2024-10-28 07:00,2024-11-19 07:00
CN.SWA5..3400,REMAINING FRAMING AND 1ST LAYER DRYWALL EXTERIOR & INSPECT - STAIR #3 - 18/L - ALL LEVELS,Complete,2024-11-08 07:00,2024-11-12 17:00,2024-11-08 07:00,2025-10-03 17:00
CN.SWA5..3450,REMAINING FRAMING AND 1st DRYWALL EXTERIOR install & INSPECT - STAIR #4 - 23/L - ALL LEVELS [/DAY],Complete,2025-06-26 07:00,2025-07-01 17:00,2025-04-29 07:00,2025-05-05 17:00
CN.SEA5.10520,IMPACT - COMPLETE REMAINING DRYWALL LEAVEOUTS FOR FIREPROOFING - ELEVATOR 22,Complete,2024-09-16 07:00,2024-09-24 17:00,2024-08-22 07:00,2024-08-27 17:00
CN.SEA5.10530,IMPACT - APACHE DEMO DRYWALL & SCRAPE FIREPROOFING SFRM-1 - ELEVATOR 22 - ALL LEVELS,Complete,2024-08-26 07:00,2024-09-05 17:00,2024-08-12 07:00,2024-08-15 17:00
CN.SEA5.10560,COMPLETE MECHANICAL ROOM DRYWALL / TAPE & FLOAT - ELEVATOR 22,Complete,2024-08-26 07:00,2024-09-05 17:00,2024-08-12 07:00,2024-08-27 17:00
CN.SEB5.9190,IMPACT - COMPLETE DRYWALL AT FIREPROOFING LEAVEOUTS - ELEVATOR 18,Complete,2024-09-24 07:00,2024-10-03 17:00,2024-09-19 07:00,2024-09-25 17:00
CN.SWA5..3650,DEMO DRYWALL FOR SANDBLASTING - STAIR #20 - 19/D - ALL LEVELS,Complete,2024-09-06 07:00,2024-09-06 17:00,2024-08-31 07:00,2024-09-02 17:00
CN.SWA5..3660,DEMO DRYWALL FOR SANDBLASTING - STAIR #21 - 13/D - ALL LEVELS,Complete,2024-09-06 07:00,2024-09-06 17:00,2024-09-03 07:00,2024-09-03 17:00
CN.SWA5.9570,IMPACT - COORDINATE & COMPLETE DRYWALL DEMO FOR STUB COLUMN REPAIR - GL 3 - L-N - L2,Complete,2024-08-29 07:00,2024-09-04 17:00,2024-08-08 07:00,2024-08-20 17:00
CN.SEB5.9210,INSTALL FRAMING/DRYWALL/TAPE+FLOAT - MECHANICAL ROOM - ELEVATOR 18 (MK MARLOW),Complete,2024-09-13 07:00,2024-10-03 17:00,2024-08-12 07:00,2024-08-23 17:00
CN.SEB5.9230,IMPACT - REMDIATE DRYWALL & CEILING DAMAGED DUE TO WATER INTRUCTION - MECHANICAL ROOM - ELEVATOR 18,Complete,2024-09-23 07:00,2024-10-15 17:00,2024-09-18 07:00,2024-10-03 17:00
CN.SEA5.10640,"FRAMING, DRYWALL, FIRE CAULKING - SHAFT LINER AND FRONTS- ELEVATOR 22 - 7 per front",Complete,2025-07-23 07:00,2025-09-17 17:00,2025-07-11 07:00,2025-08-18 08:00
CN.SWB5.10070,FRAMING AND DRYWALL AT FIREPROOFING LEAVEOUT - LVL 4 - ELEVATOR 5,Complete,2024-10-21 07:00,2024-10-29 17:00,2024-10-21 07:00,2024-10-24 17:00
CN.SWB5.10130,"COMPLETE REMAINING FRAMING, DRYWALL, FIRE CAULKING - DOOR FRONTS - ELEVATOR 5 - LVL1 SECAI TOOK OVER",Complete,2025-09-04 07:00,2025-09-24 17:00,2025-08-26 07:00,2025-09-29 07:00
CN.AB.AR.7620,INSTALL FRAMING/DRYWALL/TAPE+FLOAT - MECHANICAL ROOM - ELEVATOR 01,Complete,2025-06-30 07:00,2025-06-30 17:00,2025-06-30 07:00,2025-06-30 17:00
CN.AB.AR.7730,INSTALL FRAMING/DRYWALL/TAPE+FLOAT - MECHANICAL ROOM - ELEVATOR 01A,Complete,2025-01-06 07:00,2025-01-24 17:00,2025-01-06 07:00,2025-02-15 17:00
CN.SWA5..3880,REMOVE CONTAINMENT & SCAFFOLDING MODIFICATION FOR DRYWALL - STAIR #4 - 23/L - ALL LEVELS,Complete,2025-06-21 07:00,2025-06-25 17:00,2025-04-19 07:00,2025-04-28 17:00
STAIR.1370,"IMPACT - NEED RAISED ACCESS FLOOR TO BE COMPLETE - FIZ - LEVEL 02 #46, #56, #57-57/56 Completed. Pending drywall for 46",Complete,2024-09-20 07:00,2024-09-26 17:00,2024-06-11 07:00,2025-08-08 17:00
CN.SWB5.10230,FRAMING AND DRYWALL AT FIREPROOFING LEAVEOUT - LVL 4 - ELEVATOR 18,Complete,2024-10-25 07:00,2024-11-04 17:00,2024-10-25 07:00,2024-11-01 17:00
CN.SWA5..4120,INSTALL- 2ND LAYER EXTERIOR DRYWALL & inspect - STAIR #2 - 11/L - ALL LEVELS,Complete,2024-11-12 07:00,2024-11-22 17:00,2024-11-20 07:00,2024-12-02 16:00
CN.SWA5..4240,INSPECT - EXTERIOR 1ST LAYER DRYWALL - STAIR #21 - 13/D - ALL LEVELS,Complete,2024-11-18 07:00,2024-11-18 17:00,2024-11-18 07:00,2025-04-07 17:00
CN.SWA5..4250,INSTALL -  EXTERIOR 2ND  LAYER DRYWALL & INSPECT - STAIR #21 - 13/D - ALL LEVELS,Complete,2024-12-02 07:00,2024-12-04 17:00,2024-12-02 00:00,2025-05-05 17:00
CN.SWA5..4350,INSPECT - 1ST LAYER DRYWALL EXTERIOR & inspect  - STAIR #20 - 19/D - ALL LEVELS,Complete,2024-12-05 07:00,2024-12-05 17:00,2024-11-11 07:00,2025-09-30 17:00
CN.SWA5..4360,INSTALL - 2ND  LAYER DRYWALL EXTERIOR & inspect - STAIR #20 - 19/D - ALL LEVELS,Complete,2024-11-20 07:00,2024-11-23 17:00,2024-11-20 07:00,2025-10-07 17:00
CN.SWA5..4460,INSTALL - 2ND  LAYER DRYWALL EXTERIOR & INSPECT - STAIR #3 - 18/L - ALL LEVELS,Complete,2024-11-21 07:00,2024-11-27 17:00,2024-11-25 07:00,2025-10-10 17:00
CN.SWA5..4670,INSTALL - 2ND LAYER DRYWALL EXTERIOR & inspect  - STAIR #4 - 23/L - ALL LEVELS [/DAY],Complete,2025-07-02 07:00,2025-07-08 17:00,2025-05-20 07:00,2025-05-30 17:00
CN.SWA5..4840,INSTALL - 2ND LAYER DRYWALL EXTERIOR & inspect  - STAIR #19 - 23/L - ALL LEVELS(),Complete,2025-09-03 07:00,2025-09-08 17:00,2025-06-27 07:00,2025-06-27 17:00
CN.SWA5..5210,SECAI - INSTALL INTERIOR DRYWALL - STAIR #1 - 5/L - ALL LEVELS - SECAI TOOK OVER FOR ACCELRATION,Complete,2025-06-27 07:00,2025-06-27 17:00,2025-06-27 07:00,2025-06-27 17:00
CN.SWA5..5220,INSTALL- REMAINING DRYWALL EXTERIOR - STAIR #1 - LVL 4 - SECAI TOOK OVER FOR ACCELRATION,Complete,2025-06-24 07:00,2025-06-27 17:00,2025-06-27 07:00,2025-06-27 17:00
CN.SWA5..5230,INSPECT - REMAINING DRYWALL EXTERIOR - STAIR #1 - LVL 4 - SECAI TOOK OVER FOR ACCELRATION,Complete,2025-06-27 07:00,2025-06-27 17:00,2025-06-27 07:00,2025-06-27 17:00
CN.SWA5..5370,INSTALL - REMAINING DRYWALL EXTERIOR - STAIR #22 -  LVL 4,Complete,2025-08-18 07:00,2025-08-18 17:00,2025-08-18 07:00,2025-08-18 17:00
CN.SWA5..5380,INSPECT - REMAINING DRYWALL EXTERIOR  - STAIR #22 - LVL 4,Complete,2025-08-13 07:00,2025-08-13 17:00,2025-08-13 07:00,2025-08-13 17:00
CN.BB51.ST.2892,INSPECT -  EXTERIOR FRAMING &  DRYWALL (1-LAYERS) - GL 33 - STAIR 5 - K-L,Complete,2025-02-03 07:00,2025-02-03 17:00,2025-02-01 07:00,2025-02-01 17:00
CN.BB51.ST.2942,SCAFFOLDING MODIFICATION FOR DRYWALL & HANDRAIL INSTALL - GL 33 - STAIR 5 - K-L(2 SHIFTS),Complete,2024-10-31 07:00,2024-11-08 17:00,2024-10-30 07:00,2024-11-05 17:00
CN.BB51.ST.2992,INSTALL & INSPECT -  DRYWALL - STAIR 5 INTERIOR SHAFT 2nd-3rd layer - GL 33 - STAIR 5 - K-L(),Complete,2025-08-14 07:00,2025-09-04 17:00,2025-08-14 07:00,2025-09-04 17:00
CN.BB51.ST.3052,BERG - EXTERIOR DRYWALL & INSPECT - GL 33 - STAIR 18 - C-C.5,Complete,2025-08-01 07:00,2025-08-05 17:00,2025-07-16 07:00,2025-08-14 07:00
CN.SWB5.10500,IMPACT - FRAMING AND DRYWALL DAMAGE BY SECAI - LVL 2 - ELEVATOR 18,Complete,2024-10-01 07:00,2024-10-01 17:00,2024-10-01 07:00,2025-01-03 17:00
CN.SWB5.10620,REMAINING DRYWALL & FINISHES - DUCTSHAFTS/SE PENTHOUSE,Complete,2024-11-22 07:00,2024-11-27 17:00,2024-11-22 07:00,2025-01-06 17:00
CN.AB.AR.7880,FINISH DRYWALL AND FINISHES GL 12 - GL 12-15 - L-N - L1(need scaffold) - SECAI TOOK OVER ACCELERATION,Complete,2025-06-10 07:00,2025-06-10 07:00,2025-06-10 07:00,2025-06-10 07:00
CN.SWB4.6820,REMAINING FRAMING & DRYWALL - GL M-N/30,Complete,2025-09-02 07:00,2025-09-05 17:00,2025-09-02 07:00,2025-09-05 17:00
CN.SWA5.R.1180,INSTALL - ALL REMAINING FRAMING &  DRYWALLS - SUW - LEVEL 1,Active,2025-08-25 07:00,2025-10-06 17:00,2025-05-05 07:00,
CN.SWA5.9610,INSTALL- ALL REMAINING FRAMING & DRYWALL - SUW - LEVEL 2,Active,2025-07-14 07:00,2025-08-22 17:00,2025-05-05 07:00,
CN.AB.AR.7960,INSTALL -  ALL REMAINING FRAMING &  DRYWALL - SUE - LEVEL3,Active,2024-12-16 07:00,2024-12-20 17:00,2024-12-09 17:00,
CN.SWA5.L3.290,INSTALL- ALL REMAINING FRAMING & DRYWALL - SUW- LEVEL 3,Complete,2024-12-16 07:00,2025-02-06 17:00,2024-12-09 07:00,2025-06-06 17:00
CN.AB.AR.7260,INSTALL - ALL REMAINING FRAMING & DRYWALL - SUE - LEVEL 1,Active,2025-08-01 07:00,2025-09-12 17:00,2025-05-05 07:00,
CN.SWB5.9530,INSTALL - ALL REMAINING FRAMING & DRYWALL - SUE - LEVEL 2,Active,2025-07-03 07:00,2025-07-31 17:00,2025-04-07 07:00,
CN.SWB5.6990,INSTALL STUDD FRAMING FOR DRYWALL - STAIR #50 - (DESCOPE),Complete,2024-11-04 07:00,2024-11-19 17:00,2024-11-04 07:00,2025-06-27 17:00
CN.SEB1.10500,CEILING FRAMING & DRYWALL - BATHROOM - GL 19-22 - C-A - L1,Complete,2025-06-10 07:00,2025-06-16 17:00,2025-06-10 07:00,2025-09-04 17:00
CN.SWA5.9630,CEILING FRAMING & DRYWALL - BATHROOM - GL 3 - M-N - L1,Complete,2025-06-18 07:00,2025-06-24 17:00,2025-06-18 07:00,2025-07-18 17:00
STAIR.2620,IMPACT - IOCC FOR DRYWALL DEMO & DEMO DRYWALL STAIR #64 - SUW - 18-K - LEVEL 04,Complete,2025-01-29 07:00,2025-02-05 17:00,2025-01-29 07:00,2025-02-14 17:00
CN.SWB1..4620,FRAMING & DRYWALL - H2SO4 & NAOH TRANSFER - GL 18-21 K-N - L3,Complete,2025-08-25 07:00,2025-08-26 17:00,2025-08-25 07:00,2025-08-26 17:00
CN.SWA5..5860,IMPACT - NCR#0268 - DRYWALL REWORK NEEDED - STAIR #2 & STAIR #3 - 18/L - ALL LEVELS,Complete,2025-03-24 07:00,2025-03-27 17:00,2025-04-07 07:00,2025-06-18 17:00
CN.SWA5..5870,IMPACT - NCR#0267 Drywall rework Needed - Interior STAIR 21 & STAIR #20 - 19/D - ALL LEVELS,Complete,2024-11-20 07:00,2024-11-23 17:00,2025-04-02 07:00,2025-06-18 17:00
CN.BB51.ST.3342,INSTALL & INSPECT FRAMING/DRYWALL 1 LAYER EXTERIOR WALLS/EXPANSION JOINT - GL 33/34 - STAIR 5 - K-L,Complete,2025-06-23 07:00,2025-07-08 17:00,2025-06-12 07:00,2025-06-25 17:00
CN.BB51.ST.3362,INSTALL & INSPECT INTERIOR DRYWALL CEILING 1ST-2ND LAYER  - GL 33 - STAIR 5 - K-L,Complete,2025-09-09 07:00,2025-09-12 17:00,2025-09-04 07:00,2025-09-05 17:00
CN.BB51.ST.3392,INSTALL & INSPECT INTERIOR DRYWALL CEILING 1ST-2ND LAYER - GL 33 - STAIR 18 - C-D (),Complete,2025-10-10 07:00,2025-10-22 17:00,2025-10-10 07:00,2025-10-13 17:00
FIZ.WEST.1101,PARAPET WALL FRP & FRAME DRYWALL - ROOF - SWA - L3 - J-G GL 1-3,Complete,2023-12-01 07:00,2023-12-04 17:00,2023-12-01 07:00,2023-12-05 11:00
CN.FIZ1.1050,INSIDE TAPE & FINISH DRYWALL FIZ1 - L2 (Moisture Resistant Paperless) - DATA CTR 2 .,Complete,2023-08-03 15:00,2023-08-08 13:00,2023-07-26 15:00,2023-07-29 15:00
CN.FIZ1.1040,DRYWALL 2 SIDE FIZ1 - L2 - DATA CTR 2 .,Complete,2023-08-02 09:00,2023-08-06 09:00,2023-07-25 09:00,2023-07-28 11:00
CN.FIZ1.1030,DRYWALL & INSULATION (1 side) (INT) FIZ1 - L2 - DATA CTR 2 .,Complete,2023-07-28 15:00,2023-08-02 13:00,2023-07-24 15:00,2023-07-28 15:00
CN.FIZ1.1850,TAPE & FINISH DRYWALL - FA LAB1 - SWA  - FIZ1 - L1 - GL 1-3 J-G,Complete,2023-11-17 07:00,2023-11-20 17:00,2023-11-17 07:00,2023-11-18 11:00
CN.FIZ1.1840,DRYWALL 2 SIDE - FA LAB1 - SWA - FIZ1 - L1 - GL 1-3 J-G,Complete,2023-11-14 13:00,2023-11-19 13:00,2023-11-14 13:00,2023-11-16 17:00
CN.FIZ1.1830,DRYWALL & INSULATION (1 side) (INT) - - L1,Complete,2023-10-05 07:00,2023-10-09 15:00,2023-10-05 07:00,2023-10-12 11:00
