actv_code_id,parent_actv_code_id,actv_code_type_id,actv_code_name,short_name,seq_num,color,total_assignments
6469206,,519876,Cast-in Place Concrete - Baker Concrete,03 CONC,603,8080FF,62
6469207,,519876,Drilled Shaft Subcontractor - AH Beck,03 Dril,401,0000FF,21
6469208,,519876,Sitework (By Owner),02 Site,201,0000FF,
6469209,,519876,Owner & Design Team,Owner,1,0000FF,71
6469210,,519876,Yates,Yates,102,0000FF,
6469211,,519876,Key Milestones,MILE,0,0000FF,49
6469212,,519876,EIFS (Possibly Stucco?),07 EIFS,802,0000FF,
6469213,,519876,Precast,03 PRECAST,501,0000FF,5
6469214,,519876,Underground Plumbing - Cobb,15 - PLUMBING,901,0000FF,18
6469215,,519876,Underground Electrical - (By Owner),16 - U/G ELECT,1001,0000FF,20
6469216,,519876,U/G FIRE & PLUMBING,UG FIRE-PLUMB,301,0000FF,7
6469217,,519876,MISC. Steel,MISC STEEL,702,0000FF,15
6469218,,519877,PRIORITY 2 ARCHITECTURAL SCOPE,P2 ARCH,800,0000FF,
6469219,,519877,PRIORITY 1 ARCHITECTURAL SCOPE,P1 ARCH,700,0000FF,
6469220,,519877,SUBMITTALS & RFI'S,SUB/RFI,500,0000FF,17
6469221,,519877,PRECAST,PC,600,0000FF,19
6469222,,519877,DRAWING PACKAGES,DWG,400,0000FF,29
6469223,,519877,FABRICATE / DELIVER,FAB/DEL,2401,0000FF,36
6469224,,519877,SUP U01 - 3,SUP 1/3,2101,0000FF,
6469225,,519877,FAB L1 - L3,FAB 1/3,200,0000FF,
6469226,,519877,L2 / L3,L2 / L3,1100,0000FF,
6469227,,519877,INTERIOR FINISHES - ALL LEVELS,INT FIN,2301,0000FF,
6469228,,519877,L5 - SUP L5,L5-s,1400,0000FF,22
6469229,,519877,DS/AD,DS/AD,2001,0000FF,774
6469230,,519877,L5 - FAB Roof Deck,L5-f,100,0000FF,
6469231,,519877,Temp Sort Code,TMP,2901,0000FF,
6469232,,519877,L4 - SUP Roof - FAB Roof,L4,1300,0000FF,1510
6469233,,519877,L3 / Waffle Slab Level,L3,1200,0000FF,916
6469234,,519877,L2 - SubFab Level,L2,1002,0000FF,700
6469235,,519877,Milestones,MILE,1,0000FF,54
6469236,,519877,L1 - Fndn Slab,L1,1001,0000FF,1215
6469237,,519877,EXTERIOR SKIN,SKIN,2201,0000FF,978
6469238,,519877,Drilled Piers,Piers,2,0000FF,21
6469239,,519877,ALL LEVELS,ALL,3,0000FF,15
6469240,,519877,SUE LOWER,SEL,2501,0000FF,6
6469241,,519877,SUE UPPER,SEU,2701,0000FF,10
6469242,,519877,SUW UPPER,SWU,2801,0000FF,9
6469243,,519877,SUW LOWER,SWL,2601,0000FF,8
6469244,,519877,(New Code Value),(New),300,0000FF,
6469245,,519877,ROOMS,ROOM,3302,0000FF,
6469246,,519877,LOADING DOCK,LD,900,0000FF,16
6469247,,519877,STAIRS,STR,3202,0000FF,
6469248,,519877,,BLANK,0,0000FF,61
6469249,,519877,GL 33- LEAVEOUTS,TSTR,1601,0000FF,18
6469250,,519877,L1-L2 - LOADING DOCK LEAVEOUT (F.8-G.2),LO-1,1701,0000FF,
6469251,,519877,L1-L2 - SUPERDECK LEAVEOUT (E-E.2),LO-2,1801,0000FF,
6469252,,519877,L1-L2 - LOADING DOCK LEAVEOUT (H.8-J),LO-3,1901,0000FF,
6469253,,519877,L6 - PENTHOUSE / DS ROOF,L6,1500,0000FF,39
6469254,,519877,LU1 - Underground Level,LU1,1000,0000FF,24
6469255,,519877,PRIORITY 1 - STAIR TOWERS,ST- 1,2902,0000FF,
6469256,,519877,WAFFLE POCKET,WJE WAF,3402,0000FF,
6469257,,519877,PRIORITY 2 - STAIR TOWERS - DESCOPED,ST-2,3003,0000FF,
6469258,,519877,STAIR 5,ST 5,1,,
6469259,,519877,L1 - Exterior,L1Ext,1501,0000FF,41
6469260,,519878,COATINGS,COATINGS,1404,0000FF,
6469261,,519878,BIM / VDC,BIM/VDC,1104,0000FF,
6469262,,519878,Data Center Bldg (Gridlines 1-3),FIZ,202,0000FF,
6469263,,519878,Pier Drilling (TBD - NOVATED CONTRACT),PIERS,102,0000FF,23
6469264,,519878,TEMP,TEMP,1304,0000FF,
6469265,,519878,Key Milestones,MILE,0,0000FF,50
6469266,,519878,Fab Building,FAB,402,0000FF,
6469267,,519878,Support Building - West,SUP West,704,0000FF,3
6469268,,519878,Support Building - East,SUP East,605,0000FF,3
6469269,,519878,PRE-CONSTRUCTION,PRE,2,0000FF,
6469270,,519878,PENTHOUSES,PENT,904,0000FF,
6469271,,519878,GRIDLINE 33,GL33,1004,0000FF,
6469272,,519878,GRIDLINE 33,33,1204,0000FF,302
6469273,,519878,(New Code Value),(New),100,0000FF,
6469274,,519878,INTERIOR STAIRS,STAIR,804,0000FF,218
6469275,,519878,SUE DOORS & HARDWARE,DOOR,503,0000FF,
6469276,,519878,SUW - DOORS & HARDWARE,DOOR-1,604,0000FF,
6469277,,519878,General,(New)-6,403,0000FF,1
6469278,,519878,CANOPIES,canopy,203,0000FF,
6469279,,519879,BIM / VDC Overall,BIM OA,100,0000FF,
6469280,,519879,Data Center (Gridlines 1-3),FIZ,2,0000FF,109
6469281,,519879,Fab Building,FAB,3,0000FF,
6469282,,519879,Support Building Overall,SUP,100,0000FF,221
6469283,,519879,Key Milestones,MILE,0,0000FF,49
6469284,,519879,Drilled Piers,PIERS,1,0000FF,22
6469285,,519880,INTERIORS,INT,100,0000FF,1871
6469286,,519880,SOMD / Roofing / Waterproofing,F23,100,0000FF,855
6469287,,519880,EARLY WORK AUTHORIZATIONS,EW,0,0000FF,
6469288,,519880,FAB Piers & Foundations IFC,F01B,100,0000FF,
6469289,,519880,FAB Piers & Foundations IFC - Addendum,F0AB.01,101,0000FF,
6469290,,519880,Long Lead Primary Bulding Steel - Purchase Set,F02B,102,0000FF,
6469291,,519880,Long Lead Precast - Purchase Set,F02C,103,0000FF,
6469292,,519880,Long Lead Precast - Purchase Set - Addendum,F02C.1,104,0000FF,
6469293,,519880,FAB Building Super Structure Erection - Construction Set,F03B,105,0000FF,
6469294,,519880,FAB Building Shell - CSA Purchase Package,F04B,106,0000FF,
6469295,,519880,FAB Building Shell - CSA,F04,107,0000FF,
6469296,,519880,Fire Protection Wet System,F04A,108,0000FF,
6469297,,519880,FAB Fitup & Cleanroom - CSA/MEP,F05.01,109,0000FF,
6469298,,519880,Fire Alarm - Turnkey Vendor Purchase Package,F06,110,0000FF,
6469299,,519880,Phase 2 FAB Piers & Foundations - Construction Set,F20,111,0000FF,
6469300,,519880,Phase 2 FAB Building Shell & Super Structure,F21,112,0000FF,
6469301,,519880,Phase 1 Support - Bump Out,F22,113,0000FF,
6469302,,519881,INTERIOR BID PKG DELAY,INT PKG,1,,174
6469303,,519881,RFI 452 SUP SLAB EDGE,RFI 452,1,0000FF,6
6469304,,519881,SUP ROOF RE-DESIGN,SUP RF,1,,64
6469305,,519881,DS/AD STEEL SHOP,DS STL,1,0000FF,27
6469306,,519881,Pier & Foundations Addendum 1,F01B.01,0,0000FF,13
6469307,,519882,A1,A1,1604,0000FF,110
6469308,,519882,A2,A2,1704,0000FF,104
6469309,,519882,A3,A3,1804,0000FF,74
6469310,,519882,A4,A4,1904,0000FF,65
6469311,,519882,A5,A5,2004,0000FF,61
6469312,,519882,B1,B1,2104,0000FF,74
6469313,,519882,B2,B2,2204,0000FF,42
6469314,,519882,B3,B3,2304,0000FF,71
6469315,,519882,B4,B4,2404,0000FF,56
6469316,,519882,B5,B5,2504,0000FF,101
6469317,,519882,FIZ1 WEST INNER,FIZ1,0,0000FF,2
6469318,,519882,FIZ2 WEST OUTER,FIZ2,1,0000FF,5
6469319,,519882,FIZ3 EAST INNER,FIZ3,2,0000FF,2
6469320,,519882,FIZ4 EAST OUTER,FIZ4,3,0000FF,4
6469321,,519882,SEB2,SEB2,204,0000FF,3
6469322,,519882,SEB1,SEB1,104,0000FF,3
6469323,,519882,SEB3,SEB3,304,0000FF,2
6469324,,519882,SEB4,SEB4,404,0000FF,4
6469325,,519882,SEB5,SEB5,504,0000FF,2
6469326,,519882,SWB1,SWB1,1104,0000FF,15
6469327,,519882,SWB2,SWB2,1204,0000FF,27
6469328,,519882,SWB3,SWB3,1304,0000FF,1
6469329,,519882,SWB4,SWB4,1404,0000FF,13
6469330,,519882,SWB5,SWB5,1504,0000FF,3
6469331,,519882,SWA1,SWA1,604,0000FF,17
6469332,,519882,SWA2,SWA2,704,0000FF,16
6469333,,519882,SWA3,SWA3,804,0000FF,19
6469334,,519882,SWA4,SWA4,904,0000FF,9
6469335,,519882,SWA5,SWA5,1004,0000FF,19
6469336,,519882,SEA1,SEA1,4,0000FF,
6469337,,519882,SEA2,SEA2,5,0000FF,
6469338,,519882,SEA3,SEA3,6,0000FF,3
6469339,,519882,SEA4,SEA4,7,0000FF,1
6469340,,519882,SEA5,SEA5,8,0000FF,3
6469341,,519883,YATES,YATES,0,0000FF,4577
6469342,,519884,Good to Publish,YES,0,0000FF,5107
6469343,,519884,Not reviewed,NO,100,0000FF,
6469344,,519885,ANDREA SOLIS,ANDREA SOLIS,101,0000FF,214
6469345,,519885,SEAN MONK,SEAN MONK,201,0000FF,820
6469346,,519885,AMBER CARO,AMBER CARO,401,0000FF,648
6469347,,519885,JAMES LEE,JAMES LEE,601,0000FF,462
6469348,,519885,JAMES LIVELY,JAMES LIVELY,301,0000FF,798
6469349,,519885,HOON WOO,HOON WOO,501,0000FF,167
6469350,,519885,PROJECT MILESTONES,MILESTONES,0,0000FF,47
6469351,,519885,DONGSOO,DONGSOO,1,0000FF,21
6469352,,519885,FIZ DATA CENTER,FIZ,100,0000FF,919
6469353,,519885,CONCRETE,CIP,100,0000FF,354
6469354,,519885,STEEL,STEEL,101,0000FF,
6469355,,519886,GAS PURIFIER RM,GAS RM,0,0000FF,25
6469356,,519886,WASTE WATER TANK RM,WWT,1,0000FF,12
6469357,,519886,GCS TRAINING,GCS,1,0000FF,8
6469358,,519886,H2 PURIFIER RM,H2 PURI,100,0000FF,18
6469359,,519886,WASTE LIQUOR RM,WLR,101,0000FF,25
6469360,,519886,MCC/IO,MCC,100,0000FF,15
6469361,,519886,GCS STORAGE,GCS ST,102,0000FF,12
6469362,,519886,FA/TEM LAB,FA/TEM,103,0000FF,37
6469363,,519886,OAC MECH RM,OAC MEC,104,0000FF,15
6469364,,519886,MECH RM 1,MECH1,105,0000FF,18
6469365,,519886,MECH RM 2,MECH 2,106,0000FF,34
6469366,,519886,MECH RM 3,MECH 3,107,0000FF,8
6469367,,519886,WAFER I/O RM,I/O,2310,0000FF,
6469368,,519886,PR RM,PR,2210,0000FF,9
6469369,,519886,DATA CENTER 1,DATA-1,2510,0000FF,
6469370,,519886,DATA CENTER 2,DATA-2,2410,0000FF,21
6469371,,519886,ELECTRIC RM 1,ELEC 1,2610,0000FF,62
6469372,,519886,BATT. RM 1,BATT 1,2710,0000FF,16
6469373,,519886,BATT. RM 2,BATT 2,2810,0000FF,7
6469374,,519886,ELECTRIC RM 2,ELEC 2,2910,0000FF,87
6469375,,519886,BATT RM 3,BATT 3,3010,0000FF,20
6469376,,519886,UTILITY RM,UTILITY,3210,0000FF,
6469377,,519886,GCS STORAGE,GCS ST-1,3310,0000FF,
6469378,,519886,BATT RM 5,BATT 5,3410,0000FF,
6469379,,519886,ELECTRIC RM 4,ELEC 4,3110,0000FF,7
6469380,,519886,Electric RM 3,ELEC 3,3510,0000FF,20
6469381,,519886,BATT RM 4,BATT 4,3610,0000FF,7
6469382,,519886,FIZ,FIZ,5812,0000FF,56
6469383,,519886,FA LAB,FA LAB,3710,0000FF,24
6469384,,519886,SUB CLEAN RM,SUB CR,3810,0000FF,45
6469385,,519886,ELECTRIC RM 1,ELEC 1-1,4010,0000FF,
6469386,,519886,BATT RM 3,BATT 2-1,4110,0000FF,
6469387,,519886,CRT LAB,CRT,3910,0000FF,12
6469388,,519886,BATT RM 1,BATT 1-1,4310,0000FF,
6469389,,519886,BATT RM 2,BATT 2-2,4410,0000FF,
6469390,,519886,ELECTRIC RM 2,ELEC 2-1,4510,0000FF,
6469391,,519886,EDS,EDS,4610,0000FF,
6469392,,519886,WAFER I/O RM,WAFER,4210,0000FF,53
6469393,,519886,RETICLE RM,RETICLE,4710,0000FF,14
6469394,,519886,MCC RM 1,MCC1,4810,0000FF,2
6469395,,519886,I/O 1,I/O 1,4910,0000FF,1
6469396,,519886,VOC CRT RM,VOC CRT,5010,0000FF,
6469397,,519886,I/O 2,I/O 2,5110,0000FF,
6469398,,519886,MCC RM 2,MCC 2,5210,0000FF,
6469399,,519886,DS/AD INTERIORS,DS/AD,100,0000FF,746
6469400,,519886,BUNKER ROOM,BUNKER,107,0000FF,30
6469401,,519886,ELEVATOR,ELEV,100,0000FF,359
6469402,,519886,STAIRWAYS,STR,5410,0000FF,
6469403,,519886,GL33 EXTERIOR AREAS,G33.TYP,5510,0000FF,
6469404,,519886,MEP EQUIPMENT LEAVEOUT AREAS,G33.MEP,5610,0000FF,
6469405,,519886,GL 33 PROCUREMENT ITEMS,33.PROC,5311,0000FF,20
6469406,,519886,FAB WEST 19 -16[10],FW19-16,1010,0000FF,
6469407,,519886,FAB EAST 13 - 10,FE13-10,1810,0000FF,1
6469408,,519886,FAB EAST 10 - 7[4],FE10-7,108,0000FF,1
6469409,,519886,FAB EAST 7 - 3[5],FE7-3,109,0000FF,1
6469410,,519886,FAB EAST 33 - 31,FE33-31,1910,0000FF,1
6469411,,519886,FAB EAST 24 - 21[11],FE24-21,1210,0000FF,3
6469412,,519886,"FAB WEST 8 - 3[15,16]",FW8-3,1510,0000FF,3
6469413,,519886,FAB WEST 10 - 8[13],FW10-8,1410,0000FF,1
6469414,,519886,FAB WEST 13 - 10[12],FW13-10,1310,0000FF,
6469415,,519886,FAB WEST 16 - 13[11],FW16-13,1110,0000FF,
6469416,,519886,FAB WEST 21 - 24[8],FW21-24,610,0000FF,
6469417,,519886,FAB WEST 19 - 21[9],FW19-21,910,0000FF,2
6469418,,519886,FAB WEST 24 - 27[7],FW24-27,410,0000FF,1
6469419,,519886,FAB WEST 27 - 33[6],FW27-33,210,0000FF,3
6469420,,519886,FAB EAST 17 - 13,FE17-13,1710,0000FF,2
6469421,,519886,FAB EAST 17 - 19,FE19-17,1610,0000FF,
6469422,,519886,FAB EAST 21 - 19,FE21-19,2010,0000FF,
6469423,,519886,FAB EAST 27 - 31,FE27-31,2110,0000FF,2
6469424,,519886,FAB EAST 21 - 17,FE21-27,1,,1
6469425,,519886,FAB CENTER 27-33[9],FC27-33,810,0000FF,1
6469426,,519886,FAB CENTER 27-21[5],FC27-21,110,0000FF,
6469427,,519886,FAB CENTER 21-15[6],FC21-15,310,0000FF,
6469428,,519886,FAB CENTER 15-8[7],FC15-8,510,0000FF,1
6469429,,519886,FAB CENTER 8-3[9],FC8-3,710,0000FF,
6469430,,519886,FAB E LINE 5-20,FE 5-20,1,,1
6469431,,519886,BATHROOM,BR,5310,0000FF,92
6469432,,519886,SLURRY ROOM STAIR ,SR,1,0000FF,16
6469433,,519886,FIRE ALARM ,FA,1,,23
6469434,,519886,SUE - SUPPORT EAST,SUE,5712,0000FF,59
6469435,,519886,SUW - SUPPORT WEST,SUW,5713,0000FF,100
6469436,,519886,FIZ,FIZ-1,5711,0000FF,29
6469437,,519886,CV ROOM,CV ROOM,1,0000FF,2
6469438,,519886,IT/SECURITY,IT,1,,10
6469439,,519886,GCS STORAGE ,GCS STG,1,,2
6469440,,519886,H2O4 & NAOH ,H2&NAOH,5710,0000FF,3
6469441,,519886,"Int. Doors Filter 1, 2, 3",Doors,511,0000FF,40
6469442,,519886,AIRLOCKS & VESTABLES,AIRLOCK,100,0000FF,26
6469443,,519887,AD ACTIVITIES,AD,0,0000FF,173
6469444,,519887,DS ACTIVITIES,DS,100,0000FF,136
6469445,,519887,SUE ACTIVITIES,SUPE,100,0000FF,216
6469446,,519887,SUW ACTIVTIES,SUPW,101,0000FF,158
6469447,,519887,SUPPORT EXTERIOR ACTIVITIES,EXT,102,0000FF,254
6469448,,519887,FIZ ROOF - EAST,FIZ.E,103,0000FF,6
6469449,,519887,FIZ ROOF - WEST,FIZ.W,104,0000FF,10
6469450,,519887,SUW CRANE IMPACT,CRANE,100,0000FF,
6469451,,519887,SE PENTHOUSE,SEPH,105,0000FF,
6469452,,519887,MEP IMPACTS,MEP,106,0000FF,
6469453,,519887,ELEVATORS,ELV,107,0000FF,202
6469454,,519887,STAIRS,STAIRS,108,0000FF,13
6469455,,519887,SUPPORT STEEL,SUPSTL,109,0000FF,20
6469456,,519888,DS IMP PANELS,DS,0,0000FF,11
6469457,,519888,PIPERACK INSTALL,WW,100,0000FF,
6469458,,519889,BERG,BERG,0,0000FF,681
6469459,,519889,PATRIOT,PATRIOT,100,0000FF,187
6469460,,519889,KOVACH,KOVACH,101,0000FF,274
6469461,,519889,ROLLING PLAINS,RP,102,0000FF,277
6469462,,519889,W&W,W&W,103,0000FF,211
6469463,,519889,BAKER,BAKER,104,0000FF,270
6469464,,519889,BRAZOS,BRAZOS,105,0000FF,390
6469465,,519889,ALPHA,ALPHA,106,0000FF,82
6469466,,519889,CHERRY COATING,CHERRY,107,0000FF,235
6469467,,519889,SECAI,SECAI,208,FF8000,288
6469468,,519889,PERRY & PERRY,PP,104,0000FF,55
6469469,,519889,LATCON,LAT,105,0000FF,19
6469470,,519889,INFINITY,INFTY,108,0000FF,4
6469471,,519889,ALK,ALK,109,0000FF,18
6469472,,519889,BERNCO,BCO,106,0000FF,55
6469473,,519889,SPECTRA,SPECTRA,107,0000FF,4
6469474,,519889,H2I,H2I,108,0000FF,9
6469475,,519889,SELECT PREFAB,SELECT,109,0000FF,12
6469476,,519889,DOORS AND HARDWARE,DOORS,110,0000FF,53
6469477,,519889,FINISH PAINT,PAINT,108,0000FF,213
6469478,,519889,MK MARLOW,MK ,1,,9
6469479,,519889,WATER PROOFING GL33,WP GL33,1,,37
6469480,,519889,FLOOR STRIPING PAINT,FP,1,,30
6469481,,519890,SUE - A LINE (SUPPORT EXTERIOR WALL),A LINE,101,0000FF,133
6469482,,519890,SUE - C LINE (DS SIDE),C LINE,200,0000FF,87
6469483,,519890,SUE - D LINE (AD SIDE),D LINE,300,0000FF,82
6469484,,519890,SUW - K LINE (AD SIDE),K LINE,700,0000FF,76
6469485,,519890,SUW - L LINE (DS SIDE),L LINE,800,0000FF,100
6469486,,519890,SUW - N LINE (SUPPORT EXTERIOR WALL),N LINE,900,0000FF,151
6469487,,519890,SUE - E LINE (AD SIDE),E LINE,400,0000FF,28
6469488,,519890,SUW - J LINE (AD SIDE),J LINE,600,0000FF,24
6469489,,519890,FAB - GRIDLINE 3,GL 3,500,0000FF,12
6469490,,519890,SOUTHEAST PENTHOUSE,SE PH,1000,0000FF,15
6469491,,519890,NORTHEAST PENTHOUSE,NE PH,1200,0000FF,24
6469492,,519890,SOUTHWEST PENTHOUSE,SW PH,1100,0000FF,6
6469493,,519890,NORTHWEST PENTHOUSE,NW PH,1300,0000FF,34
6469494,,519890,MOCKUP,MOCK,0,0000FF,2
6469495,,519890,FABRICATION,FAB,100,0000FF,17
6469496,,519891,[PATRIOT] CLADDING STEEL - INITIAL INSTALLATION,CS.INTL,0,0000FF,52
6469497,,519891,[PATRIOT] CLADDING STEEL - MEP OPENING REWORK,CS.MEP,100,0000FF,92
6469498,,519891,[ALPHA] PAINTING BOLTS,BOLTS,101,0000FF,82
6469499,,519891,[KOVACH] IMP PANEL INSTALLATION,IMP,202,0000FF,279
6469500,,519891,[ALPHA/ROLLING PLANES] BEAM/KICKOUT PAINTING & FIREPROOFING,FP,102,0000FF,2
6469501,,519891,[BERG] METAL STUD FRAMING,FRAME,103,0000FF,33
6469502,,519892,YES,L4&L6,0,0000FF,186
6469503,,519893,YES,Y,0,0000FF,639
6469504,,519894,YES,Y,0,0000FF,20
6469505,,519894,A LINE 1-6,2,100,0000FF,131
6469506,,519895,YES,YES,0,0000FF,52
6469507,,519896,YES,Y,0,0000FF,96
6469508,,519897,Truss Fireproofing,Yes,0,0000FF,20
6469509,,519898,GRIDLINE 19 EXPANSION JOINT ISSUE,IMP-1,0,0000FF,29
6469510,,519898,ADDED DUCT CLADDING SUPPORT STRUCTURE,IMP-2,100,0000FF,18
6469511,,519898,INTERIOR DOOR PROCUREMENT (DRB-008),IMP-3,101,0000FF,30
6469512,,519898,AUTOMATIC ALUMINUM SLIDING DOORS (CLEAN ROOMS) PROCUREMENT,IMP-4,104,0000FF,14
6469513,,519898,SE PENTHOUSE TEMP ENCLOSURE,IMP-5,105,0000FF,2
6469514,,519898,PENTHOUSE MEP OPENINGS,IMP-6,106,0000FF,22
6469515,,519898,EXTERIOR DOOR PROCUREMENT,IMP-7,107,0000FF,61
6469516,,519898,EXISTING DOOR PROCUREMENT ACTIVITIES,IMP-8,108,0000FF,
6469517,,519898,L2 GIRDER MISSING PIPERACK INSERT - GL 31-32 - M LINE,IMP-9,109,0000FF,6
6469518,,519898,CCD 345 - INTERIOR DOORS (DRB-009),IMP-10,102,0000FF,2
6469519,,519898,CCD 367 - INTERIOR DOORS (DRB-010),IMP-11,103,0000FF,2
6469520,,519898,GL19 EXPANSION JOINT - WW STEEL,IMP-12,110,0000FF,13
6469521,,519899,YES,Y,0,0000FF,15
6469522,,519900,YES,Y,0,0000FF,
6469523,,519901,D-LINE,D-LINE,0,0000FF,80
6469524,,519901,C-LINE,C- LINE,100,0000FF,36
6469525,,519901,K-LINE,K-LINE,101,0000FF,81
6469526,,519901,1-LINE,1-LINE,102,0000FF,11
6469527,,519901,3-LINE,3-LINE,103,0000FF,10
6469528,,519902,EAST WALL,EAST,0,0000FF,
6469529,,519902,SOUTH WALL,SOUTH,100,0000FF,6
6469530,,519902,NORTH WALL,NORTH,101,0000FF,9
6469531,,519902,ALL WALLS,ALL,102,0000FF,42
6469532,,519903,SOUTH EAST PENTHOUSE,SE PH,0,0000FF,26
6469533,,519903,SOUTHWEST PENTHOUSE,SW PH,100,0000FF,67
6469534,,519903,NORTHEAST PENTHOUSE,NE PH,101,0000FF,23
6469535,,519903,NORTHWEST PENTHOUSE,NW PH,102,0000FF,28
6469536,,519904,NORTH & SOUTH WALLS,NS,0,0000FF,21
6469537,,519904,SOUTH WALL,S,100,0000FF,14
6469538,,519904,EAST WALL (A LINE),E,201,0000FF,12
6469539,,519904,WEST WALL (N LINE),W,301,0000FF,76
6469540,,519904,SOUTH & EAST WALL (A LINE),SE,101,0000FF,21
6469541,,519905,ELEVATOR 01A,01A,0,0000FF,7
6469542,,519905,ELEVATOR 01,01,100,0000FF,9
6469543,,519905,ELEVATOR 01B,01B,101,0000FF,25
6469544,,519906,YES,Yes,0,0000FF,143
6469545,,519907,SUE GRATING PENETRATIONS - L2-L4,SUE,0,0000FF,
6469546,,519907,SUW GRATING PENETRATIONS - L2-L4,SUW,700,0000FF,
6469547,,519908,ADMIN / PROCUREMENT,ADMN,0,0000FF,15
6469548,,519908,PRIORITY #1 ELEVATORS,P1,100,0000FF,
6469549,,519908,PRIORITY #2 ELEVATORS,P2,801,0000FF,
6469550,,519909,SUPPORT - WEST,SUW,100,0000FF,
6469551,,519909,SUPPORT - EAST,SUE,0,0000FF,
6469552,,519910,LEVEL 4 EDGE OF SLAB & PARAPETS,L4,0,0000FF,42
6469553,,519910,LEVEL 6 EDGE OF SLAB & PARAPETS,L6,100,0000FF,50
6469554,,519910,L3&L2,L2 & L3,1,,12
6469555,,519911,GL 3:  ADMINISTRATIVE,ADMN,0,0000FF,2
6469556,,519911,GL 3:  WEST SIDE - G-J,WEST,100,0000FF,17
6469557,,519911,GL 3:  EAST SIDE - E-G,EAST,101,0000FF,9
6469558,,519912,NCR 372 - ELEVATOR BOLT REMEDIATION (3 / 5 / 18 / 20 / 33),Y,0,0000FF,25
6469559,,519913,YES,Y,0,0000FF,65
6469560,,519914,YES,Y,0,0000FF,63
6469561,,519915,YES,Y,0,0000FF,41
6469562,,519916,AREA 3,8/23,101,0000FF,
6469563,,519916,AREA 2,8/16,100,0000FF,
6469564,,519916,AREA 1,8/7,0,0000FF,
6469565,,519916,AREA 4,8/25,102,0000FF,
6469566,,519916,AREA 5,8/30,103,0000FF,
6469567,,519916,AREA 7,9/7,105,0000FF,
6469568,,519916,AREA 9,9/14,205,0000FF,
6469569,,519916,AREA 10,9/15,206,0000FF,
6469570,,519916,AREA 8,9/10,106,0000FF,
6469571,,519916,AREA 6,9/2,104,0000FF,
6469572,,519916,AREA 11,11,207,0000FF,
6469573,,519917,CREW #1,1,0,0000FF,48
6469574,,519917,CREW #2,2,100,0000FF,49
6469575,,519917,CREW #3,3,101,0000FF,11
6469577,,519919,DRYWALL SCHEDULE,NAME,0,0000FF,
6469578,,519919,MILESTONES,MILE,1,0000FF,38
6469579,,519919,"PRIORITY DOORS ELEC, I/O, FA RMS",DR ELE,101,0000FF,
6469580,,519919,EXTERIOR DOORS,E1,400,0000FF,
6469581,,519919,PRIORITY 1,1,401,0000FF,
6469582,,519919,PRIORITY 2,2,402,0000FF,
6469583,,519919,ALUMINUM SLIDING DOORS,AL1,502,0000FF,
6469584,,519919,OHC DOORS,OHC,602,0000FF,
6469585,,519919,PRIORITY 3,3,702,0000FF,
6469586,,519919,PRIORITY 4,4,802,0000FF,
6469587,,519919,PRIORITY 5,5,902,0000FF,
6469588,,519920,Drywall Area,DRYArea,26001,0000FF,
6469589,6469203,519876,DOORS & HARDWARE - OVERHEAD,DOORS-2,601,0000FF,23
